PaperID,Author,Year,DOI,Data_type,Taxa,Species,Strain,Strain_Origin,Annual average temperature of strain origin ºC,Latitude,Experimental_design,Control_temp,Treatment_temp,Growth Metric,Control_mean,Control_SD,Control_n,Treatment_mean,Treatment_SD,Treatment_n,Experimental conditions (length of warming),Notes,DeltaT,check 
coco1,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,RCC1710,"Nagasaki, Japan",10,32.42,Dilute batch culture,10,15,Specific growth rate (d^-1),0.26,0,3,0.75,0.01,3,20 generations,,5,Y
coco2,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,RCC1710,"Nagasaki, Japan",10,32.42,Dilute batch culture,10,20,Specific growth rate (d^-1),0.26,0,3,1.15,0.02,3,20 generations,,10,
coco3,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,RCC1710,"Nagasaki, Japan",10,32.42,Dilute batch culture,10,25,Specific growth rate (d^-1),0.26,0,3,1.24,0.01,3,20 generations,,15,
coco4,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,RCC1252 ,"Tsugaru Strait, Japan",10,41.5,Dilute batch culture,10,15,Specific growth rate (d^-1),0.26,0.04,3,0.73,0,3,20 generations,,5,Y
coco5,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,RCC1252 ,"Tsugaru Strait, Japan",10,41.5,Dilute batch culture,10,20,Specific growth rate (d^-1),0.26,0.04,3,1.15,0.14,3,20 generations,,10,
coco6,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,RCC1252 ,"Tsugaru Strait, Japan",10,41.5,Dilute batch culture,10,25,Specific growth rate (d^-1),0.26,0.04,3,1.22,0.02,3,20 generations,,15,
coco7,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,IAN01 ,Japan (exact unknown),15,37,Dilute batch culture,15,20,Specific growth rate (d^-1),0.81,0.01,3,1.17,0,3,20 generations,,5,Y
coco8,Rosas-Navarro et al.,2016,10.5194/bg-13-2913-2016,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,IAN01 ,Japan (exact unknown),15,37,Dilute batch culture,15,25,Specific growth rate (d^-1),0.81,0.01,3,1.32,0.03,3,20 generations,,10,
coco9,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,8.5,Specific growth rate (d^-1),0.7642,0.017970253,3,0.0856,0.013639648,3,Steady-state growth over multiple transfers,,-10,
coco10,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,10.5,Specific growth rate (d^-1),0.7642,0.017970253,3,0.176133333,0.009675915,3,Steady-state growth over multiple transfers,,-8,
coco11,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,12,Specific growth rate (d^-1),0.7642,0.017970253,3,0.307433333,0.013479738,3,Steady-state growth over multiple transfers,,-6.5,
coco12,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,13.5,Specific growth rate (d^-1),0.7642,0.017970253,3,0.498533333,0.013620695,3,Steady-state growth over multiple transfers,,-5,
coco13,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,15.5,Specific growth rate (d^-1),0.7642,0.017970253,3,0.611966667,0.01165733,3,Steady-state growth over multiple transfers,,-3,
coco14,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,17.5,Specific growth rate (d^-1),0.7642,0.017970253,3,0.7226,0.00797308,3,Steady-state growth over multiple transfers,,-1,
coco15,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,18.5,Specific growth rate (d^-1),0.7642,0.017970253,3,0.7642,0.017970253,3,Steady-state growth over multiple transfers,,0,
coco16,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,21.3,Specific growth rate (d^-1),0.7642,0.017970253,3,0.898,0.020044201,3,Steady-state growth over multiple transfers,,2.8,
coco17,Wang et al.,2019,10.5194/bg-16-4393-2019,Laboratory Experiment,Cocolithophore,Emiliania huxleyi,CCMP371,Sargasso Sea,22,32,Dilute batch culture,18.5,22.6,Specific growth rate (d^-1),0.7642,0.017970253,3,0.9049,0.024880314,3,Steady-state growth over multiple transfers,,4.1,Y
