"PaperID","Author","Year","DOI","Data_type","Taxa","Species","Strain","Strain_Origin","Annual.average.temperature.of.strain.origin.ºC","Latitude","Experimental_design","Control_temp","Treatment_temp","Growth.Metric","Control_mean","Control_SD","Control_n","Treatment_mean","Treatment_SD","Treatment_n","Experimental.conditions..length.of.warming.","Notes","DeltaT","check"
"coco1","Rosas-Navarro et al.",2016,"10.5194/bg-13-2913-2016","Laboratory Experiment","Cocolithophore","Emiliania huxleyi","RCC1710","Nagasaki, Japan",10,"32.42","Dilute batch culture",10,15,"Specific growth rate (d^-1)",0.26,0,3,0.75,0.01,3,"20 generations","",5,"Y"
"coco4","Rosas-Navarro et al.",2016,"10.5194/bg-13-2913-2016","Laboratory Experiment","Cocolithophore","Emiliania huxleyi","RCC1252 ","Tsugaru Strait, Japan",10,"41.5","Dilute batch culture",10,15,"Specific growth rate (d^-1)",0.26,0.04,3,0.73,0,3,"20 generations","",5,"Y"
"coco7","Rosas-Navarro et al.",2016,"10.5194/bg-13-2913-2016","Laboratory Experiment","Cocolithophore","Emiliania huxleyi","IAN01 ","Japan (exact unknown)",15,"37","Dilute batch culture",15,20,"Specific growth rate (d^-1)",0.81,0.01,3,1.17,0,3,"20 generations","",5,"Y"
"coco17","Wang et al.",2019,"10.5194/bg-16-4393-2019","Laboratory Experiment","Cocolithophore","Emiliania huxleyi","CCMP371","Sargasso Sea",22,"32","Dilute batch culture",18.5,22.6,"Specific growth rate (d^-1)",0.7642,0.017970253,3,0.9049,0.024880314,3,"Steady-state growth over multiple transfers","",4.1,"Y"
"coco22","Listmann et al.",2016,"10.1111/eva.12366","Laboratory Experiment","Cocolithophore","Emiliania huxleyi","Bergen strain no.62","Bergen, Norway",15,"60.4","Semi-continual batch cultures",15,18,"Specific growth rate (d^-1)",1.0884,0.028076681,5,1.4736,0.00676757,5,"","Grown at the control CO2 levels of 400 ",3,"Y"
"coco27","Johnson et al.",2022,"10.1002/lno.12204","Laboratory Experiment","Cocolithophore","Emiliania huxleyi","RCC 1832","Western Mediterranean",18,"39.1","Dilute batch culture",15,20,"Specific growth rate (d^-1)",0.6251208,0.04584729,3,0.8618357,0.07073666,3,"","Grown at control pH levels of 8.1 (reflective of strain ocean pH levels) ",5,"Y"
"diatom2","Shang et al. ",2024,"10.3389/fmars.2024.1361157","Laboratory Experiment","Diatom","Skeletonema dohrnii","Yellow sea S. dohrnii ","Yellow Sea",25,"35","Single expansion culture",25,28,"Specific growth rate (d^-1)",0.8,0.01,3,0.89,0.02,3,"","Growth rate day used at stabilising growth rate (as growth rate per day stated)",3,"Y"
"diatom3","Cai et al. ",2022,"10.3389/fmicb.2022.851149","Laboratory Experiment","Diatom","Thalassiosira sp.","Coastal, China Thalassiosira sp.","Coastal, China",15,"38.65","Dilute batch culture",15,20,"Specific growth rate (d^-1)",1.294118,0.04010695,3,1.647059,0.02406417,3,"20 generations","Grown at the control CO2 levels of 400 ",5,""
"diatom4","Cai et al. ",2022,"10.3389/fmicb.2022.851149","Laboratory Experiment","Diatom","N. closterium f.minutissima ","Coastal, China N. closterium f.minutissima ","Coastal, China",15,"38.65","Dilute batch culture",15,20,"Specific growth rate (d^-1)",0.8947368,0.02368421,3,1.1947368,0.04736842,3,"20 generations","Grown at the control CO2 levels of 400 ",5,""
"diatom5","Gedde A.D.",1999,"10.1046/j.1529-8817.1999.3510198.x","Laboratory Experiment","Diatom","Thalassiosira andamanica","Clonal culture ""C""","Andaman Sea, Thailand",30,"8","Batch culture (non-stirred)",19,24,"Specific growth rate (d^-1)",1.3,0.1,2,1.7,0.08,2,"Exponential growth phase, no adaptation","No growth at 9°C, low at 14°C (0.1 div/day)",5,""
"diatom7","Cheng et al.",2022,"10.1021/acs.est.1c08584","Laboratory Experiment","Diatom","Skeletonema dohrnii ","TIO900","Xiamen Bay, China",24,"24.43","Semi-continuous culture",20,24,"Specific growth rate (d^-1)",2.095,0.154,3,2.247,0.135,3,"700 generations","Long-term thermal adaptation experiment",4,""
