"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3LM63YF7","journalArticle","2024","Leitao, E; Castellanos, DF; Park, G; Dam, HG","Antagonistic interactions of the dinoflagellate Alexandrium catenella under simultaneous warming and acidification","HARMFUL ALGAE","","1568-9883","10.1016/j.hal.2024.102625","","There is a concern that harmful algal bloom (HAB) species may increase under climate change. Yet, we lack understanding of how ecological interactions will be affected under ocean warming and acidification (OWA) conditions. We tested the antagonistic effects of three strains of the dinoflagellate HAB species Alexandrium catenella on three target species (the chlorophyte Tetraselmis sp., the cryptomonad Rhodomonas salina, and the diatom Thalassiosira weissflogii) at various biomass ratios between species, at ambient (16 degrees C and 400 mu atm CO2) and OWA (20 degrees C and 2000 mu atm CO2) conditions. In these experiments the Alexandrium strains had been raised under OWA conditions for similar to 100 generations. All three non-HAB species increased their growth rate under OWA relative to ambient conditions. Growth rate inhibition was evident for R. salina and Tetraselmis sp. under OWA conditions, but not under ambient conditions. These negative effects were exacerbated at higher concentrations of Alexandrium relative to non-HAB species. By contrast, T. weissflogii showed positive growth in the presence of two strains of Alexandrium under ambient conditions, whereas growth was unaffected under OWA. Contrary to our expectations, A. catenella had a slight negative response in the presence of the diatom. These results demonstrate that Alexandrium exerts higher antagonistic effects under OWA compared to ambient conditions, and these effects are species-specific and density dependent. These negative effects may shift phytoplankton community composition under OWA conditions.","2024-04","2025-03-05 14:40:27","2025-03-05 14:40:27","","","","","134","","","","","","","","","","English","","","","WOS:001287989000001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;73</p>","","","Acclimation; Adaptation; Alexandrium; ALGAL BLOOMS; Allelopathy; ALLELOPATHY; CO2; GROWTH; HAB; Multi-stressor; Ocean acidification; OCEAN ACIDIFICATION; PHYTOPLANKTON; SEA-WATER; Strain variability; TAMARENSE; TEMPERATURE; TOXIC DINOFLAGELLATE; Warming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHJTSHIK","journalArticle","2023","Vellojin, JP; Mardones, JI; Vargas, V; Leal, PP; Corredor-Acosta, A; Iriarte, JL","Potential effects of climate change on the growth response of the toxic dinoflagellate Karenia selliformis from Patagonian waters of Chile","PROGRESS IN OCEANOGRAPHY","","0079-6611","10.1016/j.pocean.2022.102956","","Northern Patagonia (41-44 degrees S) is affected by climatic, hydrological and oceanographic anomalies, which in synergy with processes such as global warming and acidification of the coastal oceans may affect the frequency and intensity of harmful algal blooms (HABs). Greater frequency of HABs has been reported in the southeastern Pacific Ocean, including blooms of the toxic dinoflagellate Karenia selliformis, causing massive mortality of marine fauna in the oceanic and coastal areas of Patagonia. The objective of this study was to determine the effects of temperature and pH interaction on the growth of K. selliformis (strain CREAN_KS02), since these factors have wide seasonal fluctuations in the Patagonian fjord ecosystem. The CREAN_KS02 strain isolated from the Ayse ' n Region (43 degrees S) was used in a factorial experiment with five pH levels (7.0, 7.4, 7.7, 8.1 and 9.0) and two temperatures (12 and 17 degrees C) during a period of 18-21 days. Results indicated a significant effect of temperature and pH interaction on growth rate (range 0.22 +/- 0.00 to 0.08 +/- 0.01 d-1) and maximum density (range 13,710 +/- 2,616 to 2,385 +/- 809 cells mL-1) of K. selliformis. The highest density and growth of K. selliformis was found at 12 degrees C with a reduced pH (7.0-7.7). The results suggest that the current environmental conditions of coastal Patagonia, waters of low temperature and relatively low pH, may be favorable for the development of blooms of this species during autumn. We suggest that there is natural plasticity of K. selliformis in a wide pH range (7.0-8.1) but in a narrow low temperature range (10.6-12.9 degrees C), values that are typically recorded in the oceanic region of northern Patagonia. In contrast, in an extreme climate change scenario (ocean warming and coastal acidification) in northern Patagonia, a negative effect on the growth of K. selliformis may be expected due to amplification of the acidification effects caused by the thermal stress of high temperature water.","2023-02","2025-03-05 14:40:27","2025-03-05 14:40:27","","","","","211","","","","","","","","","","English","","","","WOS:000993448400001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;12<br/>Total Times Cited:&nbsp;&nbsp;12<br/>Cited Reference Count:&nbsp;&nbsp;113</p>","","","Carbonate system; Chilean fjords; CO2; Coastal acidification; ENVIRONMENTAL-FACTORS; GYMNODIMINE; Harmful algal blooms; HARMFUL ALGAL BLOOMS; HIGH PH; INORGANIC CARBON; MOLECULAR-DETECTION; NORTHERN PATAGONIA; OCEAN ACIDIFICATION; Ocean warming; SOUTHERN CHILE; Toxic dinoflagellate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF7JAF4I","journalArticle","2022","Zhang, JZ; Kong, LW; Zhao, Y; Lin, QM; Huang, SJ; Jin, YF; Ma, ZL; Guan, WC","Antagonistic and synergistic effects of warming and microplastics on microalgae: Case study of the red tide species Prorocentrum donghaiense","ENVIRONMENTAL POLLUTION","","0269-7491","10.1016/j.envpol.2022.119515","","Bibliometric network analysis has revealed that the widespread distribution of microplastics (MPs) has detrimental effects on marine organisms; however, the combined effects of MPs and climate change (e.g., warming) is not well understood. In this study, Prorocentrum donghaiense, a typical red tide species in the East China Sea, was exposed to different MP concentrations (0, 1, 5, and 10 mg L-1) and temperatures (16, 22, and 28 C) for 7 days to investigate the combined effects of MPs and simulated ocean warming by measuring different physiological parameters, such as cell growth, pigment contents (chlorophyll a and carotenoid), relative electron transfer rate (rETR), reactive oxygen species (ROS), superoxide dismutase (SOD), malondialdehyde (MDA), and adenosine triphosphate (ATP). The results demonstrated that MPs significantly decreased cell growth, pigment contents, and rETR(max), but increased the MDA, ROS, and SOD levels for all MP treatments at low temperature (16 C). However, high temperatures (22 and 28 C) increased the pigment contents and rETR(max), but decreased the SOD and MDA levels. Positive and negative effects of high temperatures (22 or 28C) were observed at low (1 and 5 mg L-1) and high MP (10 mg L-1) concentrations, respectively, indicating the antagonistic and synergistic effects of combined warming and MP pollution. These results imply that the effects of MPs on microalgae will likely not be substantial in future warming scenarios if MP concentrations are controlled at a certain level. These findings expand the current knowledge of microalgae in response to increasing MP pollution in future warming scenarios.","2022-08-15","2025-03-05 14:40:27","2025-03-05 14:40:27","","","","","307","","","","","","","","","","English","","","","WOS:000807708200009","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;25<br/>Total Times Cited:&nbsp;&nbsp;28<br/>Cited Reference Count:&nbsp;&nbsp;68</p>","","","EQUATIONS; GREEN-ALGA; GROWTH; LIGHT; Microplastics; OXIDATIVE STRESS; PHOTOSYNTHESIS; Physiological responses; Prorocentrum donghaiense; Red tide; Specific growth rate; TEMPERATURE; TOXICITY; Warming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRUGUCA2","journalArticle","2017","Mardones, JI; Müller, MN; Hallegraeff, GM","Toxic dinoflagellate blooms of Alexandrium catenella in Chilean fjords: a resilient winner from climate change","ICES JOURNAL OF MARINE SCIENCE","","1054-3139","10.1093/icesjms/fsw164","","Exposure of the toxigenic dinoflagellate Alexandrium catenella to variations in pCO(2)/pH, comparable to current and near-future levels observed in Southern Chilean fjords, revealed potential functional adaptation mechanisms. Under calculated conditions for pH((total scale)) and pCO(2) ranging from 7.73-8.66 to 69.7-721.3 mu atm, respectively, the Chilean strain Q09 presented an optimum growth rate and dissolved inorganic carbon (DIC) uptake at near-equilibrium pCO(2)/pH conditions (similar to 8.1). DistaLM analysis between physiological relevant carbonate system parameters (CO2, HCO3-, and H+) and cellular rates (growth rate and DIC uptake) identified HCO3- as the unique variable explaining a significant portion of the physiological response. Estimations of equivalent spherical diameter (ESD) and chain-formation index (CI) revealed reduced cell size and enhanced chain formation at high pH/low pCO(2) conditions. Light intensity as co-factor during experiments (50 vs. 100 mu mol photons m(-2) s(-1)) produced no effect on ESD and CI. Cells exposed to low light; however, had reduced cell growth and DIC uptake especially at high pH/low pCO(2). We suggest that A. catenella Chilean strains are highly adapted to spatio-temporal pCO(2)/pH fluctuations in Chilean fjords, becoming a resilient winner from expected climate change effects.","2017-05","2025-03-05 14:40:27","2025-03-05 14:40:27","","988-995","","4","74","","","","","","","","","","English","","","","WOS:000404450100010","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;18<br/>Total Times Cited:&nbsp;&nbsp;18<br/>Cited Reference Count:&nbsp;&nbsp;50</p>","","","Alexandrium catenella; cell size; chain-formation; Chilean fjords; CO2; COMMUNITY; DIC uptake; ECOSYSTEMS; ENRICHMENT; harmful algal blooms; HARMFUL ALGAL BLOOMS; INORGANIC CARBON; MECHANISMS; OCEAN; PHYTOPLANKTON; RESPONSES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9QFJIDR","journalArticle","2014","Errera, RM; Yvon-Lewis, S; Kessler, JD; Campbell, L","Reponses of the dinoflagellate Karenia brevis to climate change: pCO2 and sea surface temperatures","HARMFUL ALGAE","","1568-9883","10.1016/j.hal.2014.05.012","","Increasing atmospheric CO2 is promoting ocean acidification and higher global temperatures and has been suggested as a possible factor for shifts in marine phytoplankton composition to more harmful species. Karenia brevis is the major harmful algal species in the Gulf of Mexico producing potent neurotoxins known as brevetoxins. We examined how changes in ocean inorganic carbon chemistry associated with pre-industrial (250 ppm), recent (350 ppm), and predicted at 2100 (1000 ppm) pCO(2) levels and increased temperature affect growth rates and brevetoxin production in K. brevis. At the predicted pCO(2) levels for 2100, growth rate of K. brevis Wilson clone increased substantially by 46% at 25 degrees C (0.43 +/- 0.01 d(-1)) compared to recent and pre-industrial levels (0.29 +/- 0.01 d(-1)). Growth rates also increased for a low brevetoxin-producing clone, SP1, from 0.24 +/- 0.02 d(-1) at lower pCO(2) levels to 0.33 +/- 0.003 d(-1) at a pCO(2) of 1000 ppm. When grown at a higher temperature (30 C), growth rates for the Wilson clone significantly decreased at all three pCO2 by approximately 30%. However, even at the higher temperature, K. brevis growth rate significantly increased by 30% (0.30 +/- 0.01 d(-1)) at the 1000 ppm CO2 level when compared to recent and pre-industrial CO2 levels (0.21 +/- 0.01 d(-1)). Although K. brevis growth rate decreased at higher temperatures, the growth rate at pCO(2) level of 1000 and 30 degrees C was slightly higher than at current conditions (pCO(2) level of 350 and 25 C). Modification of pCO(2) levels and temperatures did not have an effect on total brevetoxin production or brevetoxin profiles in either clone examined. Due to the increased growth rate, total brevetoxin production was significantly higher at the pCO(2) level of 1000. Finally, from these results we conclude there is no connection between growth rate and brevetoxin per cell. Although neither pCO(2) nor temperature influenced brevetoxin production per cell, we suggest that under predicted future climate conditions K. brevis blooms have the potential to produce higher cell concentrations and increased brevetoxin concentrations, which will pose an increased risk for ecosystem and human health. (C) 2014 Elsevier B.V. All rights reserved.","2014-07","2025-03-05 14:40:27","2025-03-05 14:40:27","","110-116","","","37","","","","","","","","","","English","","","","WOS:000340322900014","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;47<br/>Total Times Cited:&nbsp;&nbsp;60<br/>Cited Reference Count:&nbsp;&nbsp;73</p>","","","Brevenal; Brevetoxin; Climate change; CONCENTRATING MECHANISMS; DOMOIC ACID PRODUCTION; ELEVATED PCO(2); HARMFUL ALGAL BLOOMS; INORGANIC CARBON ACQUISITION; LOWERED PH; MARINE DINOFLAGELLATE; PHYTOPLANKTON COMMUNITY; PSEUDO-NITZSCHIA; TOXIC DINOFLAGELLATE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZH44CRT5","journalArticle","2021","Lee, CH; Min, J; Lee, HG; Kim, KY","Thermal plasticity of growth and chain formation of the dinoflagel-lates Alexandrium affine and Alexandrium pacificum with respect to ocean acidification","ALGAE","","1226-2617","10.4490/algae.2021.36.12.1","","The amount of CO2 absorbed by the oceans continues to rise, resulting in further acidification, altering some functional traits of phytoplankton. To understand the effect of elevated partial pressures of CO2 (pCO(2)) on functional traits of dinoflagellates Alexandrium affine and A. pacificum, the cardinal temperatures and chain formation extent were examined under two pCO(2) (400 and 1,000 mu atm) over the range of temperature expected to be associated with growth. The growth rate and chain formation extent of A. affine increased with higher pCO(2), showing significant changes in cardinal temperatures and a substantial increase in middle chain-length (4.8 cells) fractionation under elevated pCO(2) condition. By contrast, there were no significant differences in specific growth rate and any chain-length fractionation of A. pacificum between ambient and elevated pCO(2) conditions. The observed interspecies variation in the functional traits may reflect differences in ability of species to respond to environmental change with plasticity. Moreover, it allows us to understand the shifting biogeography of marine phytoplankton and predict their phenology in the Korea Strait.","2021-12","2025-03-05 14:40:27","2025-03-05 14:40:27","","285-298","","4","36","","","","","","","","","","English","","","","WOS:000735205400004","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;7<br/>Total Times Cited:&nbsp;&nbsp;7<br/>Cited Reference Count:&nbsp;&nbsp;85</p>","","","Alexandrium affine; Alexandrium pacificum; CARBON-CONCENTRATING MECHANISMS; cardinal temperature; chain formation; CLIMATE-CHANGE; CO2 CONCENTRATION; COASTAL WATERS; FUTURE; GROUP IV; growth rate; IMPACT; Korea Strait; ocean acidification; PHYTOPLANKTON; SENSITIVITY; TEMPERATURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JRDTUJ33","journalArticle","2024","Jean, N; James, A; Balliau, T; Martino, C; Ghersy, J; Savar, V; Laabir, M; Caruana, AMN","Warming and polymetallic stress induce proteomic and physiological shifts in the neurotoxic Alexandrium pacificum as possible response to global changes","MARINE POLLUTION BULLETIN","","0025-326X","10.1016/j.marpolbul.2024.117221","","Harmful Algal Blooms involving the dinoflagellate Alexandrium pacificum continue to increase in ecosystems suffering the climate warming and anthropogenic pressure. Changes in the total proteome and physiological traits of the Mediterranean A. pacificum SG C10-3 strain were measured in response to increasing temperature (24 degrees C, 27 degrees C, 30 degrees C) and trace metal contamination (Cu2+, Pb2+, Zn2+, Cd2+). Warming reduced the cell densities and maximal growth rate (mu max), but the strain persisted at 30 degrees C with more large cells. The polymetallic stress increased cell sizes, reduced cell growth at 24 degrees C-27 degrees C and it increased this at 30 degrees C. Toxin profiles showed a predominance of GTX4 (32-38 %), then C2 (11-34 %) or GTX6 (18-24 %) among the total Paralytic Shellfish Toxins, however these were modified under warming, showing increased contents in GTX1 (among the most toxic), GTX5, C1 and NeoSTX, while dc-NeoSTX and STX (among the most toxic) only appeared at 30 degrees C. Under polymetallic contamination, warming also increased contents in GTX5 and NeoSTX. In contrast, polymetallic stress, or warming had harmful effects on C2 contents. Proteins were more quantitatively produced by A. pacificum SG C10-3 under warming in accordance with the high levels of up-regulated proteins found in the total proteome in this condition. Polymetallic stress, only or combined with warming, led to low proteomic modifications (1 % or 4 %), whereas warming induced strong 52 % modified proteomic response, mainly based on up-regulated proteins involved in photosynthesis (light harvesting complex protein), carbohydrate metabolism (arylsulfatase) and translation (ribosomal proteins), and with the lesser down-regulated proteins principally associated with the lipid metabolism (type I polyketide synthase). Our results show that warming triggers a strong up-regulated A. pacificum SG C10-3 proteomic response, which, coupled to modified cell sizes and toxin profiles, could help it to withstand stress conditions. This could presage the success of A. pacificum in anthropized ecosystems submitted to global warming in which this dinoflagellate also might be more toxic.","2024-12","2025-03-05 14:40:27","2025-03-05 14:40:27","","","","","209","","","","","","","","","","English","","","","WOS:001355963500001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;162</p>","","","Alexandrium pacificum; BIOCHEMICAL-COMPOSITION; CELL-SIZE; ENVIRONMENTAL-FACTORS; Global warming; GROUP IV; Harmful algal bloom; HARMFUL ALGAL BLOOMS; HEAT-STRESS; Paralytic shellfish toxin; PARALYTIC SHELLFISH TOXINS; PROTEIN EXPRESSION; Proteomics; TAMARENSIS LEBOUR; Trace metals; WATER TEMPERATURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAY25RM8","journalArticle","2016","Bill, BD; Moore, SK; Hay, LR; Anderson, DM; Trainer, VL","Effects of temperature and salinity on the growth of Alexandrium (Dinophyceae) isolates from the Salish Sea","JOURNAL OF PHYCOLOGY","","0022-3646","10.1111/jpy.12386","","Toxin-producing blooms of dinoflagellates in the genus Alexandrium have plagued the inhabitants of the Salish Sea for centuries. Yet the environmental conditions that promote accelerated growth of this organism, a producer of paralytic shellfish toxins, is lacking. This study quantitatively determined the growth response of two Alexandrium isolates to a range of temperatures and salinities, factors that will strongly respond to future climate change scenarios. An empirical equation, derived from observed growth rates describing the temperature and salinity dependence of growth, was used to hindcast bloom risk. Hindcasting was achieved by comparing predicted growth rates, calculated from insitu temperature and salinity data from Quartermaster Harbor, with corresponding Alexandrium cell counts and shellfish toxin data. The greatest bloom risk, defined at >0.25d(-1), generally occurred from April through November annually; however, growth rates rarely fell below 0.10d(-1). Except for a few occasions, Alexandrium cells were only observed during the periods of highest bloom risk and paralytic shellfish toxins above the regulatory limit always fell within the periods of predicted bloom occurrence. While acknowledging that Alexandrium growth rates are affected by other abiotic and biotic factors, such as grazing pressure and nutrient availability, the use of this empirical growth function to predict higher risk time frames for blooms and toxic shellfish within the Salish Sea provides the groundwork for a more comprehensive biological model of Alexandrium bloom dynamics in the region and will enhance our ability to forecast blooms in the Salish Sea under future climate change scenarios.","2016-04","2025-03-05 14:40:27","2025-03-05 14:40:27","","230-238","","2","52","","","","","","","","","","English","","","","WOS:000373618400008","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;37<br/>Total Times Cited:&nbsp;&nbsp;41<br/>Cited Reference Count:&nbsp;&nbsp;35</p>","","","ACCUMULATION; Alexandrium; GONYAULAX-TAMARENSIS; growth rate; HAB; harmful algae; hindcast; IRRADIANCE; NARRAGANSETT BAY; PARALYTIC SHELLFISH; PATTERNS; Puget Sound; PUGET-SOUND; salinity; Salish Sea; temperature; TOXICITY; TOXINS; WASHINGTON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSTXGBUL","journalArticle","2024","Funaki, C; Kuwata, K; Lum, WM; Takahashi, K; Masuda, T; Ichinomiya, M; Katayama, T; Kodama, T; Iwataki, M; Takahashi, K","Effects of temperature and light intensity on growth in Prorocentrum cf. balticum (Dinophyceae) isolated from the Oyashio-Kuroshio Mixed Water region, North Pacific","PLANKTON & BENTHOS RESEARCH","","1880-8247","10.3800/pbr.19.191","","Owing to its particular mixotrophic nutrition, Prorocentrum cf. balticum has recently been suggested to contribute significantly to the biological pump in the world's oceans. However, the physiological attributes that facilitate its distribution have not yet been investigated. We clarified the effects of temperature and light intensity on the growth of a strain of P. cf. balticum isolated from the Oyashio-Kuroshio Mixed Water region and then estimated its potential habitat in the western North Pacific in the context of global warming. In batch cultures maintained at 5 degrees C30 degrees C, the highest growth was observed at 25 degrees C, while the viable temperature range was estimated to be 6.03 degrees C-29.4 degrees C. At the six different light conditions tested (20-500 mu mol m-2 s-1), growth rates were positively correlated with light intensity, except at 500 mu mol m-2 s-1 where photoinhibition was observed. At 20 degrees C, the maximum specific growth rate was calculated to be 0.661 day-1 and the compensation light intensity and the saturation light intensity were 1.15 and 283 mu mol m-2 s-1, respectively. These findings suggested that compared to other Prorocentrum species, P. cf. balticum is generally well suited to subtropical environments characterized by high light intensities. However, the potential to survive in mid-latitude environments that experience low temperatures during winter suggests a high probability of year-round occurrence at higher latitudes, including the Oyashio region, in the future.","2024-11","2025-03-05 14:40:27","2025-03-05 14:40:27","","191-202","","4","19","","","","","","","","","","English","","","","WOS:001369080700004","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;71</p>","","","BLOOM; COMMUNITY; FOOD-WEB; global warming; IRRADIANCE; light intensity; MARINE DINOFLAGELLATE; MINIMUM; OKADAIC ACID; PHYTOPLANKTON COMPOSITION; potential habitat; Prorocentrum balticum; SALINITY; SEA; specific growth rate; temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHXXYZYX","journalArticle","2021","Acheampong, E; Mantey, P; Weremfo, A","Potential impact of marine heatwaves on selected phytoplankton adapted to the Gulf of Guinea during stable hydrographic periods","AFRICAN JOURNAL OF MARINE SCIENCE","","1814-232X","10.2989/1814232X.2021.1879267","","Reports suggest that the Gulf of Guinea (northeastern tropical Atlantic) frequently experiences marine heatwaves (MHW)-prolonged periods of anomalously warm seawater-of >= 1.5 degrees C above baseline. We assessed the likely impact of this anomaly on two microalgae, Thalassiosira weissflogii (diatom) and Gymnodinium sp. (dinoflagellate), adapted to the surface temperature (28 +/- 1.5 degrees C) of the gulf during stable hydrographic periods. The algae were adapted over similar to 400 generations. They were assessed for specific growth rate (mu), dry weight, and protein content after exposure to 5 or 6 days of warming (+2 degrees C or +4 degrees C above the temperature of the stock cultures), in line with the minimum duration of MHW. Under each of the investigated warming scenarios, the effect of warming on the diatom was immediate, occurring during the first day of exposure, and mu had decreased by similar to 75% by the end of the warming period. In contrast, the warming effect on the dinoflagellate became significant during the second day, with mu reduced by similar to 78-86%. Also, the protein content of the dinoflagellate had been reduced by similar to 32% by the end of the warming period. The dry weight of T. weissflogii increased three-fold under +2 degrees C of warming. In contrast, the dry weight of Gymnodinium sp. decreased by similar to 78% and did not recover when warming was removed. These results highlight vulnerability of these algae to MHW and their unique responses to the anomaly.","2021-01-02","2025-03-05 14:40:27","2025-03-05 14:40:27","","77-86","","1","43","","","","","","","","","","English","","","","WOS:000623977400001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;5<br/>Total Times Cited:&nbsp;&nbsp;5<br/>Cited Reference Count:&nbsp;&nbsp;75</p>","","","dry weight; GROWTH; Gymnodinium sp; laboratory experiment; marine microalgae; protein content; specific growth rate; TEMPERATURE; temperature effect; Thalassiosira weissflogii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
