"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body","Screen","Reason","Comment","Screen.Name"
"WWQT2HGI","journalArticle",2023,"Zhou, C; Zhang, D; Yi, XQ; Beardall, J; Gao, KS","No adaptation to warming after selection for 800 generations in the coccolithophore Emiliania huxleyi BOF 92","FRONTIERS IN MARINE SCIENCE",NA,"2296-7745","10.3389/fmars.2023.1211804",NA,"Ocean warming is suggested to exert profound effects on phytoplankton physiology and growth. Here, we investigated how the coccolithophore Emiliania huxleyi (BOF 92, a non-calcifying strain) responded to changes in temperature in short- and long-term thermal treatments. The specific growth rate after 10 days of acclimation increased gradually with increasing temperatures (14, 17, 21, 24, 28 degrees C) and peaked at similar to 23 degrees C, followed by a significant decrease to 28 degrees C. Chlorophyll a content, cell size, photosynthetic rate, and respiratory rate increased significantly from 14 degrees C to 24 degrees C, but the cellular particulate organic carbon (POC) and nitrogen (PON) showed the lowest values at the optimal temperature. In contrast, during long-term thermal treatments at 17 degrees C and 21 degrees C for 656 days (similar to 790 generations for 17 degrees C treatment; similar to 830 generations for 21 degrees C treatment), the warming significantly stimulated the growth in the first 34 days and the last 162 days, but there was no significant difference in specific growth rate from Day 35 to Day 493. Chlorophyll a content, cell size, cellular POC/PON, and the ratio of POC to PON, showed no significant difference between the warming and control for most of the duration of the long-term exposure. The warming-selected population did not acquire persistent traits in terms of growth and cell quotas of POC and PON, which resumed to the levels in the control temperature treatment after about 9 generations in the shift test. In summary, our results indicate that warming by 4 degrees C (17 degrees C and 21 degrees C) enhanced the growth, but did not result in adaptative changes in E. huxleyi (BOF 92) over a growth period of about 800 generations, reflecting that mild or non-stressful warming treatment to E. huxleyi isolated from cold seas does not alter its phenotypic plasticity.","2023-06-26","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"",NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001022463300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","WWQT2HGI"
"3D4TCLI8","journalArticle",2024,"Wang, ZH; Tong, SY; Xu, D; Huang, XT; Sun, YM; Wang, BK; Sun, HM; Zhang, XW; Fan, X; Wang, W; Sun, K; Wang, YT; Zhang, PY; Gu, ZF; Ye, NH","Effects of temperature and nitrogen sources on physiological performance of the coccolithophore Emiliania huxleyi","MARINE ENVIRONMENTAL RESEARCH",NA,"0141-1136","10.1016/j.marenvres.2024.106405",NA,"Both temperature and nutrient levels are rising in worldwide ocean ecosystems, and they strongly influence biological responses of phytoplankton. However, few studies have addressed the interactive effects of temperature and nitrogen sources on physiological performance of the coccolithophore Emiliania huxleyi. In this study, we evaluated algal growth, photosynthesis and respiration, elemental composition, enzyme activity, and calcification under a matrix of two temperatures gradients (ambient temperature 20 degree celsius and high temperature 24 degree celsius) and two nitrogen sources (nitrate (NO3 ) and ammonium (NH4+)). When the algae was cultured with NO3 medium, high temperature reduced algal photosynthesis and nitrate reductase activity, but it did not change other indicators significantly relative to ambient temperature. In addition, E. huxleyi preferred NO3 as the growth medium, whereas NH4+ had negative effects on physiological parameters. In the NH4+ medium, the growth rate, photosynthesis and photosynthetic rate, nitrate reductase activity, and particulate organic carbon and particulate organic nitrogen production rate of the algae decreased as temperature increased. Conversely, high temperature increased cellular particulate organic carbon, cellular particulate organic nitrogen, and particulate inorganic carbon levels. In summary, our findings indicate that the distribution and abundance of microalgae could be greatly affected under warming ocean temperature and different nutrient conditions.","2024-04","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"",NA,"",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001203206500001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","3D4TCLI8"
"SW46J2ZA","journalArticle",2022,"Wang, C; Wang, JT; Li, L; Wang, YJ; Lin, SJ","P-Limitation Promotes Carbon Accumulation and Sinking of Emiliania huxleyi Through Transcriptomic Reprogramming","FRONTIERS IN MARINE SCIENCE",NA,"2296-7745","10.3389/fmars.2022.860222",NA,"Global warming is expected to cause decreases in nutrient availability, photosynthesis, and potentially carbon export in the ocean. But how, and by what molecular mechanisms, nutrient limitation affects biological pump (BP) efficiency of phytoplankton are poorly understood. Here, using transcriptomics, miRNAomics, and physiological measurements, we report that phosphorus (P)-limitation increased cellular carbon and calcium contents and sinking rate of the cosmopolitan phytoplankton Emiliania huxleyi. Under P-limitation, when photosynthesis was depressed, there were substantial increases in cellular organic (3.4-fold) and inorganic (fivefold) carbon contents due to cell division arrest and, as our transcriptomic data suggest, CO2 incorporation into C4 compounds. Furthermore, calcification was increased by 46% through transcriptional and epigenetic regulations. An increase in sinking rate by 37-44% was detected. Although calcification releases equivalent amounts of CO2, the considerable increase in cellular carbon content and sinking rate far outweighed the CO2 release, leading to an elevated efficiency of carbon export by E. huxleyi, which would partially offset the decrease in BP capacity resulting from lower growth rate under P deficiency. However, how the observed sinking rate and its increase under P limitation on the laboratory cultures will translate into BP efficiency still requires further examination using in situ or mesocosm experiments.","2022-05-23","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"",NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000807108800001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","SW46J2ZA"
"8V4IBPXJ","journalArticle",2002,"van Rijssel, M; Gieskes, WWC","Temperature, light, and the dimethylsulfoniopropionate (DMSP) content of Emiliania huxleyi (Prymnesiophyceae)","JOURNAL OF SEA RESEARCH",NA,"1385-1101","10.1016/S1385-1101(02)00134-X",NA,"The precursor of the volatile S-compound dimethylsulfide (DMS), dimethylsulfoniopropionate (DMSP), is produced by marine microalgae, notably by Prymnesiophyceae. The production of DMSP by an axenic isolate of Emiliania huxleyi (Lohm.) Hay et Mohler under different temperature and light conditions was studied as a first step towards understanding the role of DMSP-producing algae in climate regulation. Both light and temperature affected growth rate and cell size in batch cultures, but the concentration of DMSP in the cells was dependent on temperature only: at low temperature DMSP accumulated. This physiological response, assumed to be characteristic of DMSP-producing microalgae in general, is in line with the correlation that has been found between elevated concentrations of the DMS oxidation product MSA in ice core slices corresponding with low sea surface temperatures. Apparently, DMS does not play the role in climate regulation formulated in the CLAW hypothesis that proposes a feedback mechanism in which elevated temperatures lead to an increase in albedo via DMS-derived cloud condensation nuclei. (C) 2002 Elsevier Science B.V. All rights reserved.","2002-08","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"17-27",NA,"1",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000178118100002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","8V4IBPXJ"
"AGD49XUF","journalArticle",2022,"Ramos, JBE; Ribeiro, SC; Schulz, KG; Coelho, FJRD; Oliveira, V; Cunha, A; Gomes, NCM; Brownlee, C; Passow, U; De Azevedo, EB","Emiliania huxleyi-Bacteria Interactions under Increasing CO2 Concentrations","MICROORGANISMS",NA,"2076-2607","10.3390/microorganisms10122461",NA,"The interactions established between marine microbes, namely phytoplankton-bacteria, are key to the balance of organic matter export to depth and recycling in the surface ocean. Still, their role in the response of phytoplankton to rising CO2 concentrations is poorly understood. Here, we show that the response of the cosmopolitan Emiliania huxleyi (E. huxleyi) to increasing CO2 is affected by the coexistence with bacteria. Specifically, decreased growth rate of E. huxleyi at enhanced CO2 concentrations was amplified in the bloom phase (potentially also related to nutrient concentrations) and with the coexistence with Idiomarina abyssalis (I. abyssalis) and Brachybacterium sp. In addition, enhanced CO2 concentrations also affected E. huxleyi's cellular content estimates, increasing organic and decreasing inorganic carbon, in the presence of I. abyssalis, but not Brachybacterium sp. At the same time, the bacterial isolates only survived in coexistence with E. huxleyi, but exclusively I. abyssalis at present CO2 concentrations. Bacterial species or group-specific responses to the projected CO2 rise, together with the concomitant effect on E. huxleyi, might impact the balance between the microbial loop and the export of organic matter, with consequences for atmospheric carbon dioxide.","2022-12","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"",NA,"12",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000904091700001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","AGD49XUF"
"33IQU52I","journalArticle",1994,"VANBLEIJSWIJK, JDL; KEMPERS, RS; VELDHUIS, MJ; WESTBROEK, P","CELL AND GROWTH-CHARACTERISTICS OF TYPE-A AND TYPE-B OF EMILIANIA-HUXLEYI (PRYMNESIOPHYCEAE) AS DETERMINED BY FLOW-CYTOMETRY AND CHEMICAL-ANALYSES","JOURNAL OF PHYCOLOGY",NA,"0022-3646","",NA,"Two morphotypes of Emiliania huxleyi (Lohmann 1902) Hay et al. 1967, types A and B, known to be unequally distributed in the oceans, were grown in dilution cultures at a range of photon flux densities (PFDs) (1.5-155 mumol photons.m-2.s-1) and two temperatures (10-degrees and 15-degrees-C). Calcite carbon and organic carbon content of the cells as well as instantaneous growth rate, cell size, chlorophyll fluorescence, and light-scatter properties clearly depended on growth conditions and differed considerably for the two morphotypes. The ratio between calcite carbon and organic carbon production showed an optimum of 0.65 in E. huxleyi type A cells at PFD = 17.5. The ratio increased slightly with a temperature increase from 10-degrees to 15-degrees-C but remained < 1.0 at both temperatures in light-limited cells. In contrast, calcite carbon production exceeded organic carbon production (ratio: 1.4-2.2) in phosphate-deprived cultures. Emiliania huxleyi type B generally showed a higher calcite carbon/organic carbon ratio than E. huxleyi type A, but the relation with PFD was similar. The content Of calcite carbon and organic carbon as well as the instantaneous growth rate, cell size, chlorophyll fluorescence, and light-scatter properties showed large diel variations that were closely related to the division cycle. Our results show the importance of mapping the structure of any sampled cell population with respect to the phase in the cell division cycle, as this largely determines the outcome of not only ''per cell'' measurements but also short time (less than 24 h)flux measurements. For instance, dark production of calcite by E. huxleyi was negatively affected by cell division. Slowly growing (phosphate-stressed) cultures produced calcite in the light and in the dark. In contrast, rapidly growing cultures at 10-degrees-C produced calcite only in the light, whereas in the dark there was a significant loss of calcite due to dissolution.","1994-04","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"230-241",NA,"2",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:A1994NK49000010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","33IQU52I"
"K27QKAMY","journalArticle",2023,"Larsen, SH; Beardall, J","The effect of temperature and salinity on DMSP production in Gephyrocapsa oceanica (Isochrysidales, Coccolithophyceae)","PHYCOLOGIA",NA,"0031-8884","10.1080/00318884.2023.2170636",NA,"A subtropical clone of Gephyrocapsa oceanica was grown over the temperature and salinity range 10-30 degrees C and 20 parts per thousand-45 parts per thousand respectively. Cellular DMSP increased with increasing salinity, compatible with the hypothesis that DMSP is a compatible osmolyte. Cellular DMSP content was highest at colder temperatures and decreased as temperature increased. Net DMSP production rate also depended on cell size and growth rate was greatest about 2 degrees C below the optimum growth temperature of 20 degrees C for this clone. This resulted in a unimodal response of net DMSP production to increasing temperature: net DMSP production increased with increasing temperature when the cells were growing at temperatures below optimum for growth. At and above optimum growth temperature, further warming decreased net DMSP production. For the effect of temperature alone, in the subtropical oceans, where G. oceanica is growing at or above its optimum, further warming due to climate change will result in decreased net DMSP production and so a probable decrease in the flux of DMS to the atmosphere and sulphate aerosol production. Inasmuch as these aerosols modulate cloud albedo and longevity then these too will both decrease, resulting in a positive feedback response for temperature. The reverse effect may occur in higher latitude oceans where growth temperature is below optimum. The exact response in both regions is complicated because warming will also enhance water column stratification and may reduce mixed layer depths, affecting both nutrient and light regimes, as well as possible species succession effects. Further work is required to investigate these other indirect temperature effects.","2023-03-04","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"152-163",NA,"2",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000941199400001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","K27QKAMY"
"99GQYK6S","journalArticle",2014,"Oviedo, AM; Langer, G; Ziveri, P","Effect of phosphorus limitation on coccolith morphology and element ratios in Mediterranean strains of the coccolithophore Emiliania huxleyi","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",NA,"0022-0981","10.1016/j.jembe.2014.04.021",NA,"Six Emiliania huxleyi strains isolated in the Mediterranean Sea were grown under phosphorus limitation and replete (control) conditions in batch culture. We tested the hypothesis that increasing phosphorus limitation, resulting from ocean warming, will affect coccolithophores and change their contribution to the PIC:POC ratios. Four strains were isolated in the oligotrophic Algerian basin (western Mediterranean), and two strains in the extremely oligotrophic and often phosphorus depleted Levantine basin (eastern Mediterranean). Samples for particulate inorganic carbon, PIC; particulate organic carbon, POC; particulate organic phosphorus, POP; and total particulate nitrogen, TPN, were taken at equal cell densities in phosphorus limited and control culture conditions (harvesting in exponential and stationary phases respectively). Different morphological features of coccoliths were analyzed. Phosphorus limitation was inferred from: 1. a decrease in growth rate between 22% and 34% compared to phosphorus replete cultures; 2. a reduction in final cell density from ca. 2 x 10(6) cells/ml to ca. 8 x 10(4) cells/ml, and 3. markedly lower POP quotas of the limited cells. Differences in the phosphate uptake machinery are suggested based on the fact that three western Mediterranean strains decreased the phosphate concentration in the culture media until the detection limit in the first 3 experimental days while 4-5 days were necessary for the other strains. Cellular carbon quotas increased in all strains under phosphorus limitation in comparison to their respective control cultures. The increase in POC quotas ranged between 179% and 260% and in PIC quotas between 43% and 201%. TPN quotas increased under phosphorus limitation between 31% and 86% in five out of six strains. POC:TPN increased in all strains, which suggests a change in the molecular composition of the cells when exposed to phosphorus limitation. Strain specific responses were also observed in the PIC:POC ratio, which decreased in five strains and did not change in another. Phosphorus limitation did not lead to malformations. However, morphological changes of coccoliths occurred, also in a strain specific way, namely the percentage of over-calcified coccoliths was altered by P limitation, but we observed all signs in the responses among different strains. Nevertheless, this morphological feature does not reflect the changes in calcite production (PICp nor PIC:POC). Strain specific responses were not related to the isolation location, suggesting that the isolated western and eastern strains do not represent distinct eco-genotypes featuring different phosphorus usage strategies. (C) 2014 Elsevier B.V. All rights reserved.","2014-10","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"105-113",NA,"",459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000339128500014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","Hannah"
"K2XQH5LJ","journalArticle",2023,"Zhang, EQ; Zhang, SM; Li, GL; Zhang, ZX; Liu, JW","Identification and Verification of Candidate miRNA Biomarkers with Application to Infection with Emiliania huxleyi Virus","GENES",NA,"2073-4425","10.3390/genes14091716",NA,"The interactions of Emiliania huxleyi and its specific lytic virus (EhV) have a profound influence on marine biogeochemical carbon-sulfur cycles and play a prominent role in global climate change. MicroRNAs (miRNAs) have emerged as promising candidates with extensive diagnostic potential due to their role in virus-host interactions. However, the application of miRNA signatures as diagnostic markers in marine viral infection has made limited progress. Based on our previous small-RNA sequencing data, one host miRNA biomarker that is upregulated in early infection and seven viral miRNA biomarkers that are upregulated in late infection were identified and verified using qRT-PCR and a receiver operating characteristic curve analysis in pure culture, mixed culture, and natural seawater culture. The host ehx-miR20-5p was able to significantly differentiate infection groups from the control in the middle (24 h post-infection, hpi) and late infection (48 hpi) phases, while seven virus-derived miRNA biomarkers could diagnose the early and late stages of EhV infection. Functional enrichment analysis showed that these miRNAs participated in numerous essential metabolic pathways, including gene transcription and translation, cell division-related pathways, protein-degradation-related processes, and lipid metabolism. Additionally, a dual-luciferase reporter assay confirmed the targeted relationship between a viral ehv-miR7-5p and the host dihydroceramide desaturase gene (hDCD). This finding suggests that the virus-derived miRNA has the ability to inhibit the host sphingolipid metabolism, which is a specific characteristic of EhV infection during the late stage. Our data revealed a cluster of potential miRNA biomarkers with significant regulatory functions that could be used to diagnose EhV infection, which has implications for assessing the infectious activity of EhV in a natural marine environment.","2023-09","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"",NA,"9",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001073861500001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","Hannah"
"DPWGCVP9","journalArticle",2023,"Zhang, Y; Ma, S; Chen, HB; Li, JB; Li, ZK; Xu, K; Huang, RP; Zhang, H; Han, YH; Sun, J","Reallocation of elemental content and macromolecules in the coccolithophore Emiliania huxleyi to acclimate to climate change","BIOGEOSCIENCES",NA,"1726-4170","10.5194/bg-20-1299-2023",NA,"Global climate change leads to simultaneous changes in multiple environmental drivers in the marine realm. Although physiological characterization of coccolithophores has been studied under climate change, there is limited knowledge on the biochemical responses of this biogeochemically important phytoplankton group to changing multiple environmental drivers. Here, we investigate the interactive effects of reduced phosphorus availability (4 to 0.4 mu mol L-1), elevated pCO(2) concentrations (426 to 946 mu atm), and increasing light intensity (40 to 300 mu mol photons m(-2) s(-1)) on elemental content and macromolecules of the cosmopolitan coccolithophore Emiliania huxleyi. Reduced phosphorus availability reduces particulate organic nitrogen (PON) and protein contents per cell under 40 mu mol photons m(-2) s(-1) but not under 300 mu mol photons m(-2) s(-1). Reduced phosphorus availability and elevated pCO(2) concentrations act synergistically to increase particulate organic carbon (POC) and carbohydrate contents per cell under 300 mu mol photons m(-2) s(-1) but not under 40 mu mol photons m(-2) s(-1). Reduced phosphorus availability, elevated pCO(2) concentrations, and increasing light intensity act synergistically to increase the allocation of POC to carbohydrates. Under elevated pCO(2) concentrations and increasing light intensity, enhanced carbon fixation could increase carbon storage in the phosphorus-limited regions of the oceans where E. huxleyi dominates the phytoplankton assemblages. In each type of light intensity, elemental-carbonto-phosphorus (C : P) and nitrogen-to-phosphorus (N : P) ratios decrease with increasing growth rate. These results suggest that coccolithophores could reallocate chemical elements and energy to synthesize macromolecules efficiently, which allows them to regulate their elemental content and growth rate to acclimate to changing environmental conditions.","2023-04-05","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"1299-1312",NA,"7",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000964477600001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reject","No reason given","No comments given","Hannah"
