"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A9TI6M28","journalArticle","2022","Qiu, JM; Su, TC; Wang, X; Jiang, LL; Shang, Y; Jin, P; Xu, JT; Fan, JL; Li, W; Li, FT","Comparative study of the physiological responses of Skeletonema costatum and Thalassiosira weissflogii to initial pCO2 in batch cultures, with special reference to bloom dynamics","MARINE ENVIRONMENTAL RESEARCH","","0141-1136","10.1016/j.marenvres.2022.105581","","Extensive studies have documented the responses of diatoms to environmental drivers in the context of climate change. However, bloom dynamics are usually ignored in most studies. Here, we investigated the effects of the initial pCO(2) on the bloom characteristics of two cosmopolitan diatoms, Skeletonema costatum and Thalassiosira weissflogii. Batch cultures with two initial pCO(2) conditions (LC: 400 mu atm; HC: 1000 mu atm) were used to investigate bloom dynamics under current and ocean acidification scenarios. The simulated S. costatum bloom was characterized by fast accumulation, a rapid decline in biomass, and a shorter stationary phase. The T. weissflogii bloom had a longer stationary phase, and cell density remained at high levels after culturing for 19 days. The physiological performances of the two diatoms varied significantly in the different bloom phases. We found that the initial pCO(2) has modulating effects on biomass accumulation and bloom dynamics for these two diatoms. The higher initial pCO(2) enhanced the specific growth rate of T. weissflogii by 6% in the exponential phase, leading to higher cell densities, while 86% higher decay rates were observed in the HC cultures of S. costatum. Overall, ocean acidification may alter the dynamics of diatom blooms and may have profound impacts on the biological carbon pump.","2022-03","2025-03-12 17:12:31","2025-03-12 17:12:31","","","","","175","","","","","","","","","","","","","","WOS:000780192400003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPNNSPTQ","journalArticle","2021","Iwasaki, K; Evenhuis, C; Tamburic, B; Kuzhiumparambil, U; O'Connor, W; Ralph, P; Szabó, M","Improving light and CO2 availability to enhance the growth rate of the diatom, Chaetoceros muelleri","ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS","","2211-9264","10.1016/j.algal.2021.102234","","Diatoms (Bacillariophyceae) are an important source of feed for juvenile animals in aquaculture hatcheries. Increasing the yield of feed cultures by optimizing illumination and inorganic carbon supply could significantly reduce operational costs for hatcheries. In this study, the growth dynamics and photosynthetic efficiency of the aquaculture-relevant diatom Chaetoceros muelleri were monitored and modelled under four different light and CO2 conditions. By increasing the availability of both light and CO2, a growth rate of 1.59 ? 0.12 (day-1) was achieved for C. muelleri, an increase of approximately 89% compared to 0.84 ? 0.08 (day? 1) which was recorded in cultures under light limitation with no CO2 addition. The real-time monitoring and modelling of growth dynamics and photosynthesis rates in different light and CO2 conditions have demonstrated that light availability can be improved by minimizing the path length of light through the culture, and the importance of on-demand CO2 supply. The techniques and results outlined in this study could be used to potentially improve biomass production in hatcheries.","2021-05","2025-03-12 17:12:31","2025-03-12 17:12:31","","","","","55","","","","","","","","","","","","","","WOS:000642452900011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3QL4TPY","journalArticle","2024","Shang, XM; Yang, YN; Zan, YL; Sun, ZW; Lu, ZY; Sun, J","Effects of temperature on the growth, total lipid content and fatty acid composition of Skeletonema dohrnii","FRONTIERS IN MARINE SCIENCE","","2296-7745","10.3389/fmars.2024.1361157","","The potential of diatoms as aquatic bait, attribute to their abundance in highly unsaturated fatty acids, has been extensively studied. Temperature plays a crucial role in the synthesis of these fatty acids. This study specifically investigated the impact of temperature on the growth, total lipid content, and fatty acid composition of Skeletonema dohrnii, a planktonic diatom commonly associated with red tides and water blooms in China. The aim is to evaluate its suitability as an aquatic bait and provide insights for large-scale factory farming. Results indicated that the highest biomass and maximum growth rate occurred at 28 degrees C, with no significant deviation from the control group at 25 degrees C. At 28 degrees C and 15 degrees C, there was a significant increase in the total lipid content and the total fatty acid content, with a more pronounced effect at 15 degrees C. At 28 degrees C, EPA and DHA content measured at 0.97 +/- 0.01 mg.DW.L-1 and 0.264 +/- 0.01 mg.DW.L-1 respectively, surpass those at 15 degrees C due to lower biomass. Conversely, at 15 degrees C, substantial synthesis of long-chain polyunsaturated fatty acids, with EPA constituting up to 32.24 +/- 0.24% of the total fatty acids, is observed. Modulating the temperature could optimize the utilization of S. dohrnii as an aquatic feed source. These findings underscore the potential of S. dohrnii as a high-quality aquafeed and lay the groundwork for its success in ocean warming scenarios.","2024-05-24","2025-03-12 17:12:31","2025-03-12 17:12:31","","","","","11","","","","","","","","","","","","","","WOS:001242988300001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BL9BSTRB","journalArticle","2023","Hong, T; Huang, N; Mo, JZ; Chen, YH; Li, TC; Du, H","Transcriptomic and physiological responses of a model diatom (Phaeodactylum tricornutum) to heat shock and heat selection","ECOLOGICAL INDICATORS","","1470-160X","10.1016/j.ecolind.2023.110420","","Diatoms are ecologically important phytoplankton as they contribute 40% of the marine primary production and play an essential role in the biogeochemical cycles of many elements. Ocean warming, as a pressing environmental stressor, can profoundly affect the population structure and ecological services of diatoms. However, the molecular mechanisms underpinning cellular and physiological changes of diatoms under heat wave and heat selection conditions remain underexplored. This study revealed the transcriptomic and physiological responses of a model diatom species P. tricornutum to ocean warming at an elevated temperature (25 degrees C in comparison with 20 degrees C) under scenarios of heat shock (-7 days; -7 generations) and heat selection (-175 days; -165 generations). While unchanged cell growth and reduced Fv/Fm were recorded in the heat shock treatment, significant reductions in the cell growth rate and Fv/Fm were evident in the heat selection treatment. Contents of Chl-a, carotenoid, total soluble protein, carbon (C), and nitrogen (N) increased significantly in both treatments. Transcriptomics analysis showed that elevated temperature suppressed signaling pathways related to photosynthesis but activated signaling pathways involving in fatty acid metabolism and nitrogen metabolism following the heat selection, associated with elevated substance storage and enlarged cell size. As a result, the increase of both C and N suggest that more energy was likely allocated to growth than division under ocean warming. Notably, P. tricornutum showed a higher resistance to nitrogen limitation condition after acclimating to ocean warming possibly by activation of nitrogen metabolism and uptake. P. tricornutum responded to the projected ocean warming through readjusting energy metabolism.","2023-09","2025-03-12 17:12:31","2025-03-12 17:12:31","","","","","153","","","","","","","","","","","","","","WOS:001008813000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KUMUEUH","journalArticle","2022","Cai, T; Feng, YY; Wang, YA; Li, TT; Wang, JC; Li, W; Zhou, WH","The Differential Responses of Coastal Diatoms to Ocean Acidification and Warming: A Comparison Between Thalassiosira sp. and Nitzschia closterium f.minutissima","FRONTIERS IN MICROBIOLOGY","","1664-302X","10.3389/fmicb.2022.851149","","Marine diatoms are one of the marine phytoplankton functional groups, with high species diversity, playing important roles in the marine food web and carbon sequestration. In order to evaluate the species-specific responses of coastal diatoms to the combined effects of future ocean acidification (OA) and warming on the coastal diatoms, we conducted a semi-continuous incubation on the large centric diatom Thalassiosira sp. (similar to 30 mu m) and small pennate diatom Nitzschia closterium fminutissima (similar to 15 mu m). A full factorial combination of two temperature levels (15 and al-C) and pCO(2) (400 and 1,000 ppm) was examined. The results suggest that changes in temperature played a more important role in regulating the physiology of Thalassiosira sp. and N. closterium f.minutissima than CO2. For Thalassiosira sp., elevated temperature significantly reduced the cellular particulate organic carbon (POC), particulate organic nitrogen (PON), particulate organic phosphate (POP), biogenic silica (BSi), chlorophyll a (Chl a), and protein contents, and the C:N ratio. CO2 only had significant effects on the growth rate and the protein content. However, for the smaller pennate diatom N. closterium f.minutissima, the growth rate, POC production rate, and the C:P ratio significantly increased with an elevated temperature, whereas the cellular POP and BSi contents significantly decreased. CO2 had significant effects on the POC production rate, cellular BSi, POC, and PON contents, the C:P, Si:C, N:P, and Si:P ratios, and sinking rate. The interaction between OA and warming showed mostly antagonistic effects on the physiology of both species. Overall, by comparison between the two species, CO2 played a more significant role in regulating the growth rate and sinking rate of the large centric diatom Thalassiosira sp., whereas had more significant effects on the elemental compositions of the smaller pennate diatom N. closterium f. minutissima. These results suggest differential sensitivities of different diatom species with different sizes and morphology to the changes in CO2/temperature regimes and their interactions.","2022-06-21","2025-03-12 17:12:31","2025-03-12 17:12:31","","","","","13","","","","","","","","","","","","","","WOS:000886535600001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDQ6WHFH","journalArticle","1999","Gedde, AD","Thalassiosira andamanica sp. nov. (Bacillariophyceae), a new diatom from the Andaman Sea (Thailand)","JOURNAL OF PHYCOLOGY","","0022-3646","10.1046/j.1529-8817.1999.3510198.x","","A new marine diatom, Thalassiosira andamanica, is described from light and electron microscopy, The specimens were collected in the vicinity of Phuket Marine Biological Center, Thailand, and later brought into clonal culture, Thalassiosira andamanica possess a rimoportula with a pronounced outer extension, one marginal ring of fultoportulae, and three rings of fultoportulae on the valve face, Cells are united into colonies by a single thread secreted through a central fultoportula. Marginal fultoportulae extensions are shortest on the inside of the valve. The areolae are arranged in sectors, and the valve margin is ribbed with approximately 38 ribs in 10 mu m. The valvocopula and copula have rows of pores, four to six pores in 1 mu m. Apparently, the pleurae are hyaline, Experiments with a clonal culture isolated at Phuket, Thailand, showed that growth (cell divisions.24 h(-1)) was reduced for cultures grown at 14 degrees C compared to those gown at 19 degrees, 24 degrees, or 30 degrees C, The maximum growth rate (2.2 divisions.24 h(-1)) was at 30 degrees C. Thalassiosira andamanica is compared with morphologically similar taxa, On the basis of morphological features and the response to different temperature regimens, it is concluded that this taxon must be recognized as new warm-water species. In addition, T. andamanica does not clearly belong to any of the two subgroups of species of Thalassiosira, To accommodate the morphological characteristics of T, andamanica, the establishment of a possible third subgroup is discussed.","1999-02","2025-03-12 17:12:31","2025-03-12 17:12:31","","198-205","","1","35","","","","","","","","","","","","","","WOS:000078926400025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQEJ2PGF","journalArticle","2022","Cheng, LM; Zhang, SF; Xie, ZX; Li, DX; Lin, L; Wang, MH; Wang, DZ","Metabolic Adaptation of a Globally Important Diatom following 700 Generations of Selection under a Warmer Temperature","ENVIRONMENTAL SCIENCE & TECHNOLOGY","","0013-936X","10.1021/acs.est.1c08584","","Diatoms, accounting for 40% of the marine primary production and 20% of global carbon dioxide fixation, are threatened by the ongoing ocean warming (OW). However, whether and how these ecologically important phytoplankton adapt to OW remains poorly unknown. Here, we experimentally examined the metabolic adaptation of a globally important diatom species Skeletonema dohrnii (S. dohrnii) to OW at two elevated temperatures (24 and 28 degrees C compared with 20 degrees C) under short-term (similar to 300 generations) and long-term (similar to 700 generations selection. Both warming levels significantly increased the cell growth rate but decreased the chlorophyll a content. The contents of particulate organic carbon (POC) and particulate organic nitrogen (PON) decreased significantly initially (i.e., until 300 generations) at two temperature treatments but completely recovered after 700 generations of selection, suggesting that S. dohrnii ultimately developed thermal adaptation. Proteomic analysis demonstrated that elevated temperatures upregulated energy metabolism via glycolysis, tricarboxylic acid cycle, and fatty acid oxidation as well as nitrogen acquisition and utilization, which in turn reduced substance storage because of trade-off in the 300th generation, thus decreasing POC and PON. Interestingly, populations at both elevated temperatures exhibited significant proteome plasticity in the 700th generation, as primarily demonstrated by the increased lipid catabolism and glucose accumulation, accounting for the recovery of POC and PON. Changes occurring in cells at the 300th and 700th generations demonstrate that S. dohrnii can adapt to the projected OW, and readjusting the energy metabolism is an important adaptive strategy.","2022-04-19","2025-03-12 17:12:31","2025-03-12 17:12:31","","5247-5255","","8","56","","","","","","","","","","","","","","WOS:000793137500055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2P2VU3A","journalArticle","2022","Biswas, H","A story of resilience: Arctic diatom Chaetoceros gelidus exhibited high physiological plasticity to changing CO2 and light levels","FRONTIERS IN PLANT SCIENCE","","1664-462X","10.3389/fpls.2022.1028544","","Arctic phytoplankton are experiencing multifaceted stresses due to climate warming, ocean acidification, retreating sea ice, and associated changes in light availability, and that may have large ecological consequences. Multiple stressor studies on Arctic phytoplankton, particularly on the bloom-forming species, may help understand their fitness in response to future climate change, however, such studies are scarce. In the present study, a laboratory experiment was conducted on the bloom-forming Arctic diatom Chaetoceros gelidus (earlier C. socialis) under variable CO2 (240 and 900 mu atm) and light (50 and 100 mu mol photons m(-2) s(-1)) levels. The growth response was documented using the pre-acclimatized culture at 2 degrees C in a closed batch system over 12 days until the dissolved inorganic nitrogen was depleted. Particulate organic carbon and nitrogen (POC and PON), pigments, cell density, and the maximum quantum yield of photosystem || (Fv/Fm) were measured on day 4 (D-4), 6 (D-6), 10 (D-10), and 12 (D-12). The overall growth response suggested that C. gelidus maintained a steady-state carboxylation rate with subsequent conversion to macromolecules as reflected in the per-cell POC contents under variable CO2 and light levels. A substantial amount of POC buildup at the low CO2 level (comparable to the high CO2 treatment) indicated the possibility of existing carbon dioxide concentration mechanisms (CCMs) that needs further investigation. Pigment signatures revealed a high level of adaptability to variable irradiance in this species without any major CO2 effect. PON contents per cell increased initially but decreased irrespective of CO2 levels when nitrogen was limited (D-6 onward) possibly to recycle intracellular nitrogen resources resulting in enhanced C:N ratios. On D-12 the decreased dissolved organic nitrogen levels could be attributed to consumption under nitrogen starvation. Such physiological plasticity could make C. gelidus ""ecologically resilient"" in the future Arctic.","2022-11-11","2025-03-12 17:12:31","2025-03-12 17:12:31","","","","","13","","","","","","","","","","","","","","WOS:000890242500001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IL39U6NX","journalArticle","2019","Kottuparambil, S; Jin, P; Agusti, S","Adaptation of Red Sea Phytoplankton to Experimental Warming Increases Their Tolerance to Toxic Metal Exposure","FRONTIERS IN ENVIRONMENTAL SCIENCE","","2296-665X","10.3389/fenvs.2019.00125","","We recently demonstrated the rapid adaptation of Red Sea phytoplankton to ocean warming, with associated constraints on physiological performance. However, the possible tradeoff between thermal adaptation and the organism's tolerance to other environmental drivers in a warmer future remains understudied. Here, we designed an evolutionary selection environment where the Red Sea diatom Chaetoceros tenuissimus was adapted to ambient (26 degrees C) and warming (30 degrees C) temperature scenarios for over 2,000 generations. These strains were subsequently exposed to a range of copper (Cu) dose over three assay temperatures (26, 30, and 35 degrees C), to assess whether adaptation to experimental warming is accompanied by a reformed tolerance to toxic pollutants. Most previous studies on Cu toxicity in marine phytoplankton were conducted within a smaller range of temperature (20-25 degrees C), indicating the need for further assessments to reveal the potential complex interactive effects between pollutants and more significant warming in the future. The acute Cu toxicity was estimated in terms of reduction in cell abundance (cells mL(-1)), growth rate (mu) and PSII photosynthetic efficiency (F-v/F-m), with 48 h median effective concentration values (EC50) ranging from 2.22 to 20.19 mu g L-1. We found a statistically significant interaction between assay temperature, selection temperature, and Cu doses in all the criteria tested. However, under the extreme warming scenario (35 degrees C), the Cu sensitivity was significantly reduced, indicating cumulative antagonistic effects between these factors. Adaptation of phytoplankton to higher temperatures may help maintain their heavy metal tolerance, although a shift in temperature during the tests clearly altered their sensitivities. We conclude that selection for warming had made cells more resistant to Cu at the selection temperature in comparison to ambient-adapted population tested at 26 degrees C. However, in warming-adapted cells, this response was traded off against cupper resistance at 26 degrees C.","2019-08-29","2025-03-12 17:12:31","2025-03-12 17:12:31","","","","","7","","","","","","","","","","","","","","WOS:000483055900001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27K87UH4","journalArticle","2015","Chen, H; Guan, WC; Zeng, GQ; Li, P; Chen, SB","Alleviation of solar ultraviolet radiation (UVR)-induced photoinhibition in diatom Chaetoceros curvisetus by ocean acidification","JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM","","0025-3154","10.1017/S0025315414001568","","The study aimed to unravel the interaction between ocean acidification and solar ultraviolet radiation (UVR) in Chaetoceros curvisetus. Chaetoceros curvisetus cells were acclimated to high CO2 (HC, 1000 ppmv) and low CO2 concentration (control, LC, 380 ppmv) for 14 days. Cell density, specific growth rate and chlorophyll were measured. The acclimated cells were then exposed to PAB (photosynthetically active radiation (PAR) + UV-A + UV-B), PA (PAR + UV-A) or P (PAR) for 60 min. Photochemical efficiency (phi PSII), relative electron transport rate (rETR) and the recovery of phi PSII were determined. HC induced higher cell density and specific growth rate compared with LC. However, no difference was found in chlorophyll between HC and LC. Moreover, phi PSII and rETRs were higher under HC than LC in response to solar UVR. P exposure led to faster recovery of phi PSII, both under HC and LC, than PA and PAB exposure. It appeared that harmful effects of UVR on C. curvisetus could be counteracted by ocean acidification simulated by high CO2 when the effect of climate change is not beyond the tolerance of cells.","2015-06","2025-03-12 17:12:31","2025-03-12 17:12:31","","661-667","","4","95","","","","","","","","","","","","","","WOS:000354057500002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
