"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body","Screen","Reason","Comment","Screen.Name","Taxa"
"WWQT2HGI","journalArticle",2023,"Zhou, C; Zhang, D; Yi, XQ; Beardall, J; Gao, KS","No adaptation to warming after selection for 800 generations in the coccolithophore Emiliania huxleyi BOF 92","FRONTIERS IN MARINE SCIENCE",NA,"2296-7745","10.3389/fmars.2023.1211804",NA,"Ocean warming is suggested to exert profound effects on phytoplankton physiology and growth. Here, we investigated how the coccolithophore Emiliania huxleyi (BOF 92, a non-calcifying strain) responded to changes in temperature in short- and long-term thermal treatments. The specific growth rate after 10 days of acclimation increased gradually with increasing temperatures (14, 17, 21, 24, 28 degrees C) and peaked at similar to 23 degrees C, followed by a significant decrease to 28 degrees C. Chlorophyll a content, cell size, photosynthetic rate, and respiratory rate increased significantly from 14 degrees C to 24 degrees C, but the cellular particulate organic carbon (POC) and nitrogen (PON) showed the lowest values at the optimal temperature. In contrast, during long-term thermal treatments at 17 degrees C and 21 degrees C for 656 days (similar to 790 generations for 17 degrees C treatment; similar to 830 generations for 21 degrees C treatment), the warming significantly stimulated the growth in the first 34 days and the last 162 days, but there was no significant difference in specific growth rate from Day 35 to Day 493. Chlorophyll a content, cell size, cellular POC/PON, and the ratio of POC to PON, showed no significant difference between the warming and control for most of the duration of the long-term exposure. The warming-selected population did not acquire persistent traits in terms of growth and cell quotas of POC and PON, which resumed to the levels in the control temperature treatment after about 9 generations in the shift test. In summary, our results indicate that warming by 4 degrees C (17 degrees C and 21 degrees C) enhanced the growth, but did not result in adaptative changes in E. huxleyi (BOF 92) over a growth period of about 800 generations, reflecting that mild or non-stressful warming treatment to E. huxleyi isolated from cold seas does not alter its phenotypic plasticity.","2023-06-26","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"",NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001022463300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","WWQT2HGI","Coccolithophores"
"K27QKAMY","journalArticle",2023,"Larsen, SH; Beardall, J","The effect of temperature and salinity on DMSP production in Gephyrocapsa oceanica (Isochrysidales, Coccolithophyceae)","PHYCOLOGIA",NA,"0031-8884","10.1080/00318884.2023.2170636",NA,"A subtropical clone of Gephyrocapsa oceanica was grown over the temperature and salinity range 10-30 degrees C and 20 parts per thousand-45 parts per thousand respectively. Cellular DMSP increased with increasing salinity, compatible with the hypothesis that DMSP is a compatible osmolyte. Cellular DMSP content was highest at colder temperatures and decreased as temperature increased. Net DMSP production rate also depended on cell size and growth rate was greatest about 2 degrees C below the optimum growth temperature of 20 degrees C for this clone. This resulted in a unimodal response of net DMSP production to increasing temperature: net DMSP production increased with increasing temperature when the cells were growing at temperatures below optimum for growth. At and above optimum growth temperature, further warming decreased net DMSP production. For the effect of temperature alone, in the subtropical oceans, where G. oceanica is growing at or above its optimum, further warming due to climate change will result in decreased net DMSP production and so a probable decrease in the flux of DMS to the atmosphere and sulphate aerosol production. Inasmuch as these aerosols modulate cloud albedo and longevity then these too will both decrease, resulting in a positive feedback response for temperature. The reverse effect may occur in higher latitude oceans where growth temperature is below optimum. The exact response in both regions is complicated because warming will also enhance water column stratification and may reduce mixed layer depths, affecting both nutrient and light regimes, as well as possible species succession effects. Further work is required to investigate these other indirect temperature effects.","2023-03-04","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"152-163",NA,"2",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000941199400001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","K27QKAMY","Coccolithophores"
"MRBKCTAK","journalArticle",2020,"Zhang, Y; Collins, S; Gao, KS","Reduced growth with increased quotas of particulate organic and inorganic carbon in the coccolithophore Emiliania huxleyi under future ocean climate change conditions","BIOGEOSCIENCES",NA,"1726-4170","10.5194/bg-17-6357-2020",NA,"Effects of ocean acidification and warming on marine primary producers can be modulated by other environmental factors, such as levels of nutrients and light. Here, we investigated the interactive effects of five oceanic environmental drivers (CO2, temperature, light, dissolved inorganic nitrogen and phosphate) on the growth rate, particulate organic carbon (POC) and particulate inorganic carbon (PIC) quotas of the cosmopolitan coccolithophore Emiliania huxleyi. The population growth rate increased with increasing temperature (16 to 20 degrees C) and light intensities (60 to 240 mu mol photons m(-2) S-1) but decreased with elevated pCO(2) concentrations (370 to 960 mu atm) and reduced availability of nitrate (24.3 to 7.8 mu mol L-1) and phosphate (1.5 to 0.5 mu mol L-1). POC quotas were predominantly enhanced by the combined effects of increased pCO(2) and decreased availability of phosphate. PIC quotas increased with decreased availability of nitrate and phosphate. Our results show that concurrent changes in nutrient concentrations and pCO(2) levels predominantly affected the growth, photosynthetic carbon fixation and calcification of E. huxleyi and imply that plastic responses to progressive ocean acidification, warming, and decreasing availability of nitrate and phosphate reduce the population growth rate while increasing cellular quotas of particulate organic and inorganic carbon of E. huxleyi, ultimately affecting coccolithophore-related ecological and biogeochemical processes.","2020-12-16","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"6357-6375",NA,"24",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000600177500001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","Hannah","Coccolithophores"
"8J498AM9","journalArticle",2016,"Rosas-Navarro, A; Langer, G; Ziveri, P","Temperature affects the morphology and calcification of Emiliania huxleyi strains","BIOGEOSCIENCES",NA,"1726-4170","10.5194/bg-13-2913-2016",NA,"The global warming debate has sparked an unprecedented interest in temperature effects on coccolithophores. The calcification response to temperature changes reported in the literature, however, is ambiguous. The two main sources of this ambiguity are putatively differences in experimental setup and strain specificity. In this study we therefore compare three strains isolated in the North Pacific under identical experimental conditions. Three strains of Emiliania huxleyi type A were grown under non-limiting nutrient and light conditions, at 10, 15, 20 and 25aEuro-A degrees C. All three strains displayed similar growth rate versus temperature relationships, with an optimum at 20-25aEuro-A degrees C. Elemental production (particulate inorganic carbon (PIC), particulate organic carbon (POC), total particulate nitrogen (TPN)), coccolith mass, coccolith size, and width of the tube element cycle were positively correlated with temperature over the sub-optimum to optimum temperature range. The correlation between PIC production and coccolith mass/size supports the notion that coccolith mass can be used as a proxy for PIC production in sediment samples. Increasing PIC production was significantly positively correlated with the percentage of incomplete coccoliths in one strain only. Generally, coccoliths were heavier when PIC production was higher. This shows that incompleteness of coccoliths is not due to time shortage at high PIC production. Sub-optimal growth temperatures lead to an increase in the percentage of malformed coccoliths in a strain-specific fashion. Since in total only six strains have been tested thus far, it is presently difficult to say whether sub-optimal temperature is an important factor causing malformations in the field. The most important parameter in biogeochemical terms, the PICaEuro-:aEuro-POC ratio, shows a minimum at optimum growth temperature in all investigated strains. This clarifies the ambiguous picture featuring in the literature, i.e. discrepancies between PICaEuro-:aEuro-POC-temperature relationships reported in different studies using different strains and different experimental setups. In summary, global warming might cause a decline in coccolithophore's PIC contribution to the rain ratio, as well as improved fitness in some genotypes due to fewer coccolith malformations.","2016","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"2913-2926",NA,"10",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000378354900004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","Hannah","Coccolithophores"
"5ET25LSY","journalArticle",2019,"Wang, XX; Fu, FX; Qu, PP; Kling, JD; Jiang, HB; Gao, YH; Hutchins, DA","How will the key marine calcifier Emiliania huxleyi respond to a warmer and more thermally variable ocean?","BIOGEOSCIENCES",NA,"1726-4170","10.5194/bg-16-4393-2019",NA,"Global warming will be combined with predicted increases in thermal variability in the future surface ocean, but how temperature dynamics will affect phytoplankton biology and biogeochemistry is largely unknown. Here, we examine the responses of the globally important marine coccolithophore Emiliania huxleyi to thermal variations at two frequencies (1 d and 2 d) at low (18.5 degrees C) and high (25.5 degrees C) mean temperatures. Elevated temperature and thermal variation decreased growth, calcification and physiological rates, both individually and interactively. The 1 d thermal variation frequencies were less inhibitory than 2 d variations under high temperatures, indicating that high-frequency thermal fluctuations may reduce heat-induced mortality and mitigate some impacts of extreme high-temperature events. Cellular elemental composition and calcification was significantly affected by both thermal variation treatments relative to each other and to the constant temperature controls. The negative effects of thermal variation on E. huxleyi growth rate and physiology are especially pronounced at high temperatures. These responses of the key marine calcifier E. huxleyi to warmer, more variable temperature regimes have potentially large implications for ocean productivity and marine biogeochemical cycles under a future changing climate.","2019-11-20","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"4393-4409",NA,"22",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000498701300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","Hannah","Coccolithophores"
"4LFFU72D","journalArticle",2016,"Listmann, L; LeRoch, M; Schlüter, L; Thomas, MK; Reusch, TBH","Swift thermal reaction norm evolution in a key marine phytoplankton species","EVOLUTIONARY APPLICATIONS",NA,"1752-4571","10.1111/eva.12362",NA,"Temperature has a profound effect on the species composition and physiology of marine phytoplankton, a polyphyletic group of microbes responsible for half of global primary production. Here, we ask whether and how thermal reaction norms in a key calcifying species, the coccolithophore Emiliania huxleyi, change as a result of 2.5 years of experimental evolution to a temperature approximate to 2 degrees C below its upper thermal limit. Replicate experimental populations derived from a single genotype isolated from Norwegian coastal waters were grown at two temperatures for 2.5 years before assessing thermal responses at 6 temperatures ranging from 15 to 26 degrees C, with pCO(2) (400/1100/2200 mu atm) as a fully factorial additional factor. The two selection temperatures (15 degrees/26.3 degrees C) led to a marked divergence of thermal reaction norms. Optimal growth temperatures were 0.7 degrees C higher in experimental populations selected at 26.3 degrees C than those selected at 15.0 degrees C. An additional negative effect of high pCO(2) on maximal growth rate (8% decrease relative to lowest level) was observed. Finally, the maximum persistence temperature (T-max) differed by 1-3 degrees C between experimental treatments, as a result of an interaction between pCO(2) and the temperature selection. Taken together, we demonstrate that several attributes of thermal reaction norms in phytoplankton may change faster than the predicted progression of ocean warming.","2016-10","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"1156-1164",NA,"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000387763200011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","Hannah","Coccolithophores"
"PHLIHT93","journalArticle",2022,"Johnson, R; Langer, G; Rossi, S; Probert, I; Mammone, M; Ziveri, P","Nutritional response of a coccolithophore to changing pH and temperature","LIMNOLOGY AND OCEANOGRAPHY",NA,"0024-3590","10.1002/lno.12204",NA,"Coccolithophores are a calcifying unicellular phytoplankton group that are at the base of the marine food web, and their lipid content provides a source of energy to consumers. Coccolithophores are vulnerable to ocean acidification and warming, therefore it is critical to establish the effects of climate change on these significant marine primary producers, and determine potential consequences that these changes can have on their consumers. Here, we quantified the impact of changes in pH and temperature on the nutritional condition (lipid content, particulate organic carbon/nitrogen), growth rate, and morphology of the most abundant living coccolithophore species, Emiliania huxleyi. We used a regression type approach with nine pH levels (ranging from 7.66 to 8.44) and two temperatures (15 degrees C and 20 degrees C). Lipid production was greater under reduced pH, and growth rates were distinctly lower at 15 degrees C than at 20 degrees C. The production potential of lipids, which estimates the availability of lipids to consumers, increased under 20 degrees C, but decreased under low pH. The results indicate that, while consumers will benefit energetically under ocean warming, this benefit will be mitigated by ocean acidification. The carbon to nitrogen ratio was higher at 20 degrees C and low pH, indicating that the nutritional quality of coccolithophores for consumers will decline under climate change. The impact of low pH on the structural integrity of the coccosphere may also mean that coccolithophores are easier to digest for consumers. Many responses suggest cellular stress, indicating that increases in temperature and reductions in pH may have a negative impact on the ecophysiology of coccolithophores.","2022-10","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"2309-2324",NA,"10",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000846459400001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","Hannah","Coccolithophores"
"XAZ6Y4IL","journalArticle",2011,"Fiorini, S; Middelburg, JJ; Gattuso, JP","Effects of elevated CO2 partial pressure and temperature on the coccolithophore Syracosphaera pulchra","AQUATIC MICROBIAL ECOLOGY",NA,"0948-3055","10.3354/ame01520",NA,"The effects of elevated partial pressure of CO2 (pCO(2)) and temperature on the coccolithophore Syracosphaera pulchra were investigated in isolation and in combination. Both the diploid and the haploid life stages were studied. Batch cultures were grown under 4 conditions: 400 mu atm and 19 degrees C; 400 mu atm and 22 degrees C; 740 mu atm and 19 degrees C; and 740 mu atm and 22 degrees C. The growth rate (mu) significantly increased under elevated pCO(2) only in the haploid stage and showed a different pattern with respect to temperature: it was higher at an elevated temperature in the haploid stage at 400 mu atm whereas it decreased in the diploid stage at 740 mu atm. Increasing both parameters together increased the growth rate by 11 % in the haploid stage only. Elevated pCO(2) had a negative impact on the content of particulate organic carbon (POC), production and cell size in both life stages at 19 degrees C, while no significant effect was observed at 22 degrees C. Increasing temperature significantly increased the content of POC and production in the diploid stage at 740 mu atm, while at 400 mu atm it significantly decreased both the content of POC and production in the haploid stage. A simultaneous increase in pCO(2) and temperature had a negative effect on the content of POC and production in the haploid stage only. Neither the rate of calcification (production of particulate inorganic carbon, PIC) nor the PIC:POC ratio were significantly affected by elevated pCO(2), temperature or their interaction. These results showed a strong interactive effect between pCO(2) and temperature in affecting the physiology of S. pulchra, an effect that was often more pronounced in the haploid life stage. Elevated pCO(2) had a stronger effect than temperature.","2011","2025-03-12 16:36:15","2025-03-12 16:36:15",NA,"221-232",NA,"3",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000296265000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","Hannah","Coccolithophores"
"A3QL4TPY","journalArticle",2024,"Shang, XM; Yang, YN; Zan, YL; Sun, ZW; Lu, ZY; Sun, J","Effects of temperature on the growth, total lipid content and fatty acid composition of Skeletonema dohrnii","FRONTIERS IN MARINE SCIENCE",NA,"2296-7745","10.3389/fmars.2024.1361157",NA,"The potential of diatoms as aquatic bait, attribute to their abundance in highly unsaturated fatty acids, has been extensively studied. Temperature plays a crucial role in the synthesis of these fatty acids. This study specifically investigated the impact of temperature on the growth, total lipid content, and fatty acid composition of Skeletonema dohrnii, a planktonic diatom commonly associated with red tides and water blooms in China. The aim is to evaluate its suitability as an aquatic bait and provide insights for large-scale factory farming. Results indicated that the highest biomass and maximum growth rate occurred at 28 degrees C, with no significant deviation from the control group at 25 degrees C. At 28 degrees C and 15 degrees C, there was a significant increase in the total lipid content and the total fatty acid content, with a more pronounced effect at 15 degrees C. At 28 degrees C, EPA and DHA content measured at 0.97 +/- 0.01 mg.DW.L-1 and 0.264 +/- 0.01 mg.DW.L-1 respectively, surpass those at 15 degrees C due to lower biomass. Conversely, at 15 degrees C, substantial synthesis of long-chain polyunsaturated fatty acids, with EPA constituting up to 32.24 +/- 0.24% of the total fatty acids, is observed. Modulating the temperature could optimize the utilization of S. dohrnii as an aquatic feed source. These findings underscore the potential of S. dohrnii as a high-quality aquafeed and lay the groundwork for its success in ocean warming scenarios.","2024-05-24","2025-03-12 17:12:31","2025-03-12 17:12:31",NA,"",NA,"",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001242988300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","A3QL4TPY","Diatoms"
"BL9BSTRB","journalArticle",2023,"Hong, T; Huang, N; Mo, JZ; Chen, YH; Li, TC; Du, H","Transcriptomic and physiological responses of a model diatom (Phaeodactylum tricornutum) to heat shock and heat selection","ECOLOGICAL INDICATORS",NA,"1470-160X","10.1016/j.ecolind.2023.110420",NA,"Diatoms are ecologically important phytoplankton as they contribute 40% of the marine primary production and play an essential role in the biogeochemical cycles of many elements. Ocean warming, as a pressing environmental stressor, can profoundly affect the population structure and ecological services of diatoms. However, the molecular mechanisms underpinning cellular and physiological changes of diatoms under heat wave and heat selection conditions remain underexplored. This study revealed the transcriptomic and physiological responses of a model diatom species P. tricornutum to ocean warming at an elevated temperature (25 degrees C in comparison with 20 degrees C) under scenarios of heat shock (-7 days; -7 generations) and heat selection (-175 days; -165 generations). While unchanged cell growth and reduced Fv/Fm were recorded in the heat shock treatment, significant reductions in the cell growth rate and Fv/Fm were evident in the heat selection treatment. Contents of Chl-a, carotenoid, total soluble protein, carbon (C), and nitrogen (N) increased significantly in both treatments. Transcriptomics analysis showed that elevated temperature suppressed signaling pathways related to photosynthesis but activated signaling pathways involving in fatty acid metabolism and nitrogen metabolism following the heat selection, associated with elevated substance storage and enlarged cell size. As a result, the increase of both C and N suggest that more energy was likely allocated to growth than division under ocean warming. Notably, P. tricornutum showed a higher resistance to nitrogen limitation condition after acclimating to ocean warming possibly by activation of nitrogen metabolism and uptake. P. tricornutum responded to the projected ocean warming through readjusting energy metabolism.","2023-09","2025-03-12 17:12:31","2025-03-12 17:12:31",NA,"",NA,"",153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001008813000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accept","No reason given","No comments given","BL9BSTRB","Diatoms"
