"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"V38GUCTE","journalArticle","2023","Zeng, H; Hu, XA; Ouyang, SH; Zhou, QX","Microplastics Weaken the Adaptability of Cyanobacterium Synechococcus sp. to Ocean Warming","ENVIRONMENTAL SCIENCE & TECHNOLOGY","","0013-936X","10.1021/acs.est.3c01133","","Increasedgrowth rates and carbon fixation were weakenedand triggered the transcriptomic adjustment of Synechococcus sp. in photosynthesis and CO2 fixation in response tomicroplastics under ocean warming. Ocean warming (OW) caused by anthropogenic activitiesthreatensocean ecosystems. Moreover, microplastic (MP) pollution in the globalocean is also increasing. However, the combined effects of OW andMPs on marine phytoplankton are unclear. Synechococcus sp., the most ubiquitous autotrophic cyanobacterium, was used toevaluate the response to OW + MPs under two warming scenarios (28and 32 degrees C compared to 24 degrees C). The enhancement of the cellgrowth rate and carbon fixation under OW were weakened by MP exposure.Specifically, OW + MPs reduced carbon fixation by 10.9 and 15.4% at28 and 32 degrees C, respectively. In addition, reduction in photosynthesispigment contents of Synechococcus sp. under OW wasintensified under OW + MPs, supporting the lower growth rate and carbonfixation under OW + MPs. Transcriptome plasticity (the evolutionaryand adaptive potential of gene expression in response to changingenvironments) enabled Synechococcus sp. to developa warming-adaptive transcriptional profile (downregulation of photosynthesisand CO2 fixation) under OW. Nevertheless, the downregulationof photosynthesis and CO2 fixation were alleviated underOW + MPs to increase responsiveness to the adverse effect. Due tothe high abundances of Synechococcus sp. and itscontributions to primary production, these findings are importantfor understanding the effects of MPs on carbon fixation and oceancarbon fluxes under global warming.","2023-06-08","2025-03-12 19:31:38","2025-03-12 19:31:38","","9005-9017","","24","57","","","","","","","","","","","","","","WOS:001006229400001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP9VLSJZ","journalArticle","2007","Fu, FX; Warner, ME; Zhang, YH; Feng, YY; Hutchins, DA","Effects of increased temperature and CO2 on photosynthesis, growth, and elemental ratios in marine Synechococcus and Prochlorococcus (Cyanobacteria)","JOURNAL OF PHYCOLOGY","","0022-3646","10.1111/j.1529-8817.2007.00355.x","","Little is known about the combined impacts of future CO2 and temperature increases on the growth and physiology of marine picocyanobacteria. We incubated Synechococcus and Prochlorococcus under present-day (380 ppm) or predicted year-2100 CO2 levels (750 ppm), and under normal versus elevated temperatures (+4 degrees C) in semicontinuous cultures. Increased temperature stimulated the cell division rates of Synechococcus but not Prochlorococcus. Doubled CO2 combined with elevated temperature increased maximum chl a-normalized photosynthetic rates of Synechococcus four times relative to controls. Temperature also altered other photosynthetic parameters (alpha, Phi(max), E-k, and Delta F/F-m') in Synechococcus, but these changes were not observed for Prochlorococcus. Both increased CO2 and temperature raised the phycobilin and chl a content of Synechococcus, while only elevated temperature increased divinyl chl a in Prochlorococcus. Cellular carbon (C) and nitrogen (N) quotas, but not phosphorus (P) quotas, increased with elevated CO2 in Synechococcus, leading to similar to 20% higher C:P and N:P ratios. In contrast, Prochlorococcus elemental composition remained unaffected by CO2, but cell volume and elemental quotas doubled with increasing temperature while maintaining constant stoichiometry. Synechococcus showed a much greater response to CO2 and temperature increases for most parameters measured, compared with Prochlorococcus. Our results suggest that global change could influence the dominance of Synechococcus and Prochlorococcus ecotypes, with likely effects on oligotrophic food-web structure. However, individual picocyanobacteria strains may respond quite differently to future CO2 and temperature increases, and caution is needed when generalizing their responses to global change in the ocean.","2007-06","2025-03-12 19:31:39","2025-03-12 19:31:39","","485-496","","3","43","","","","","","","","","","","","","","WOS:000246686100008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGSHIQJS","journalArticle","2022","Qu, PP; Fu, FX; Wang, XW; Kling, JD; Elghazzawy, M; Huh, M; Zhou, QQ; Wang, CG; Mak, EWK; Lee, MD; Yang, NN; Hutchins, DA","Two co-dominant nitrogen-fixing cyanobacteria demonstrate distinct acclimation and adaptation responses to cope with ocean warming","ENVIRONMENTAL MICROBIOLOGY REPORTS","","1758-2229","10.1111/1758-2229.13041","","The globally dominant N-2-fixing cyanobacteria Trichodesmium and Crocosphaera provide vital nitrogen supplies to subtropical and tropical oceans, but little is known about how they will be affected by long-term ocean warming. We tested their thermal responses using experimental evolution methods during 2 years of selection at optimal (28 degrees C), supra-optimal (32 degrees C) and suboptimal (22 degrees C) temperatures. After several hundred generations under thermal selection, changes in growth parameters, as well as N and C fixation rates, suggested that Trichodesmium did not adapt to the three selection temperature regimes during the 2-year evolution experiment, but could instead rapidly and reversibly acclimate to temperature shifts from 20 degrees C to 34 degrees C. In contrast, over the same timeframe apparent thermal adaptation was observed in Crocosphaera, as evidenced by irreversible phenotypic changes as well as whole-genome sequencing and variant analysis. Especially under stressful warming conditions (34 degrees C), 32 degrees C-selected Crocosphaera cells had an advantage in survival and nitrogen fixation over cell lines selected at 22 degrees C and 28 degrees C. The distinct strategies of phenotypic plasticity versus irreversible adaptation in these two sympatric diazotrophs are both viable ways to maintain fitness despite long-term temperature changes, and so could help to stabilize key ocean nitrogen cycle functions under future warming scenarios.","2022-04","2025-03-12 19:31:39","2025-03-12 19:31:39","","203-217","","2","14","","","","","","","","","","","","","","WOS:000742017400001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ICXN8WM","journalArticle","2014","Jiang, XD; Zhang, LH; Li, QM; Zhang, H; Chen, Y","Combined effects of calcium deficiency, cyanobacteria, and warming on the population fitness of three cladocerans","FUNDAMENTAL AND APPLIED LIMNOLOGY","","1863-9135","10.1127/fal/2014/0672","","Aqueous calcium decline is a novel and widespread threat to soft-water lakes and usually co-occurs with other stressors. A three-way full factorial design was used to investigate the combined effects of a chemical stressor (calcium decline from 20 to 5 mg L-1), a biological stressor (50 % Microcystis aeruginosa in diets), and a physical stressor (temperature increase from 25 to 29 degrees C) on the population fitness of three common cladocerans with distinct body sizes. Both Ca deficiency and increasing cyanobacteria significantly depressed fitness in the large-bodied Daphnia pulex, while warming did not. The combined effect of Ca deficiency and increasing cyanobacteria was significantly synergistic in D. pulex with a greater fitness reduction in the presence of cyanobacteria. Ca deficiency significantly depressed Simocephalus vetulus fitness only at 29 degrees C. Ca deficiency and warming had a synergistic effect on S. vetulus fitness, but the combined effect of warming and cyanobacteria was antagonistic. The fitness of the small-bodied B. longirostris increased with temperature, but was not influenced by Ca deficiency, cyanobacteria, or the interactions of the three stressors. These results suggest that D. pulex was most vulnerable to ongoing Ca decline. The non-additive effects of multiple stressors should be considered when predicting zooplankton responses in soft-water lakes.","2014-12","2025-03-12 19:31:39","2025-03-12 19:31:39","","321-328","","3-4","185","","","","","","","","","","","","","","WOS:000346888400010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCX9UC8K","journalArticle","2021","Feng, XJ; Lin, TH; Yan, W; Zhang, R; Jiao, NZ","Interactions between marine cyanobacteria and heterotrophic bacteria: A case study of Prochlorococcus","CHINESE SCIENCE BULLETIN-CHINESE","","0023-074X","10.1360/TB-2020-1234","","Cyanobacteria are the key primary producers in the global ocean and account for 25% of its net productivity. They play a vital role in the ocean by driving the circulation of matter and the flow of energy via the absorption of considerable amounts of carbon dioxide and the release of dissolved organic matter. This dissolved organic matter is converted into biomass by marine heterotrophs, which keeps the cycling of elements in oligotrophic waters at equilibrium. Prochlorococcus, an ecologically important genus of cyanobacteria, is the smallest and most abundant oxygenic phototroph in the global ocean. Prochlorococcus has highly streamlined genomes, which can provide a competitive advantage in the oligotrophic surface waters; however, the streamlined genomes also force Prochlorococcus to adapt to a narrow range of environmental parameters. Owing to these genomic characteristics, Prochlorococcus often establishes interactions with heterotrophic bacteria to survive in the challenging marine environment. Because cyanobacteria are abundant in the ocean, the cyanobacteria-heterotrophic bacteria relationship can significantly affect marine carbon sequestration and storage, which in turn has important ecological implications. Previous studies have reported on the relationships between Prochlorococcus and various heterotrophic bacteria. For example, Prochlorococcus establishes positive interactions with Alteromonas sp. that enhance its growth rate and environmental adaptability. In this review, we discuss the underlying mechanisms of the interaction patterns between Prochlorococcus and heterotrophic bacteria, as well as their genetic, physiological, and ecological significance. Prochlorococcus and heterotrophic bacteria tend to form mutualistic relationships in which they directly or indirectly exchange metabolites or recycle organic carbon through complementary excretion and crosstalk between pathways, such as citrate, glycolate, and malate pathways. Prochlorococcus and heterotrophic bacteria also commonly establish commensal relationships. For instance, heterotrophic bacteria protect Prochlorococcus by scavenging hydrogen peroxide, which Prochlorococcus is sensitive to. Although many heterotrophic bacteria cannot synthesize vitamin B-12, they require it as a cofactor for essential functions. Their genetic characteristics suggest that most cyanobacteria have the pathways for synthesizing vitamin B-12, but that they may provide vitamin B-12 to heterotrophic bacteria to promote the growth of ""helper"" in the oligotrophic ocean. Therefore, the interactions between cyanobacteria and heterotrophic bacteria help maintain the stability and diversity of marine ecosystems. Global climate change may influence cyanobacteria-heterotrophic bacteria interactions, which could directly affect the structure and dynamics of the microbial community in the oligotrophic ocean, and therefore, primary productivity and element cycling in the ocean. Here, we suggest future research priorities and potential applications based on newfound knowledge of the subject. First, using the known ""heterotrophic bacteria-cyanobacteria"" relationships, the cultivation of marine heterotrophic bacteria, cyanobacteria and their viruses should be promoted to build a more comprehensive ""cyanobacteria-heterotrophic bacteria-virus"" ecological model for marine environments. Second, the interaction mechanisms between cyanobacteria and heterotrophic bacteria should be revealed by new biotechnologies, such as (meta) genomics, (meta) transcriptomics, (meta) proteomics, and (meta) metabolomics.Third, cyanobacteria-heterotrophic bacteria interactions should be studied against the backdrop of climate change using both ex situ (i.e., laboratory) and in situ investigations to predict changes in marine microbial community and its potential impact on biogeochemical cycling in oceans.","2021","2025-03-12 19:31:39","2025-03-12 19:31:39","","3839-3848","","30","66","","","","","","","","","","","","","","WOS:000715757500007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5A9KVBLN","journalArticle","2025","Escribano-Gómez, I; Liébana, R; Palacio, AS; Labban, A; Morán, XAG; López-Urrutia, A; Alonso-Sáez, L","The dominant marine Synechococcus clade II exhibits a non-canonical transcriptional response to cope with thermal stress","ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS","","2211-9264","10.1016/j.algal.2024.103840","","Temperature significantly impacts the growth and distribution of marine cyanobacteria, which employ diverse strategies to cope with temperature variations. However, the molecular mechanisms underlying thermal acclimation in cyanobacterial taxa that dominate vast oligotrophic regions of the ocean, such as the Synechococcus clade II, remain unknown. Here, we analysed the physiological and global transcriptional response of an ecologically relevant clade II strain (Synechococcus sp. RS9907) to long-term thermal acclimation at temperatures from 20 to 33 degrees C. The growth rate in RS9907 increased linearly with temperature up to the warm threshold (33 degrees C), but genes related with the heat-shock response were upregulated within the range of 28 to 33 degrees C, indicating significant cellular stress under warm conditions. Carbon fixation and assimilation genes (rcbLS, cbbA, zwf, glgP) showed minimum expression values at 20 degrees C and 33 degrees C, but the diel expression patterns of these genes remained unaffected by temperature conditions, being consistently upregulated during day-time. By contrast, some genes involved in photosynthesis (acpA, psbABO, psaABD) were strongly upregulated during night-time under warm conditions, suggesting regulatory imbalances during the diel cycle. Notably, the expression of genes related to the synthesis of osmolytes against salt stress and fatty acid desaturases, which are typically upregulated under cold temperature in other cyanobacteria, was induced in warm acclimated RS9907 cells. These results highlight distinct transcriptional mechanisms of thermal acclimation in members of the Synechococcus clade II compared to other cyanobacterial lineages. This emphasizes the importance of understanding the diverse and intricate ways in which marine cyanobacteria adapt to temperature fluctuations.","2025-01","2025-03-12 19:31:39","2025-03-12 19:31:39","","","","","85","","","","","","","","","","","","","","WOS:001434167500001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YE69GA75","journalArticle","2019","Li, YY; Chen, XH; Xue, C; Zhang, H; Sun, G; Xie, ZX; Lin, L; Wang, DZ","Proteomic Response to Rising Temperature in the Marine Cyanobacterium Synechococcus Grown in Different Nitrogen Sources","FRONTIERS IN MICROBIOLOGY","","1664-302X","10.3389/fmicb.2019.01976","","Synechococcus is one of the most important contributors to global primary productivity, and ocean warming is predicted to increase abundance and distribution of Synechococcus in the ocean. Here, we investigated molecular response of an oceanic Synechococcus strain WH8102 grown in two nitrogen sources (nitrate and urea) under present (25 degrees C) and predicted future (28 degrees C) temperature conditions using an isobaric tag (IBT)-based quantitative proteomic approach. Rising temperature decreased growth rate, contents of chlorophyll a, protein and sugar in the nitrate-grown cells, but only decreased protein content and significantly increased zeaxanthin content of the urea-grown cells. Expressions of CsoS2 protein involved in carboxysome formation and ribosomal subunits in both nitrate- and urea-grown cells were significantly decreased in rising temperature, whereas carbohydrate selective porin and sucrose-phosphate synthase (SPS) were remarkably up-regulated, and carbohydrate degradation associated proteins, i.e., glycogen phosphorylase kinase, fructokinase and glucose-6-phosphate dehydrogenase, were down-regulated in the urea-grown cells. Rising temperature also increased expressions of three redox-sensitive enzymes (peroxiredoxin, thioredoxin, and CP12) in both nitrate-and urea-grown cells. Our results indicated that rising temperature did not enhance cell growth of Synechococcus; on the contrary, it impaired cell functions, and this might influence cell abundance and distribution of Synechococcus in a future ocean.","2019-08-23","2025-03-12 19:31:39","2025-03-12 19:31:39","","","","","10","","","","","","","","","","","","","","WOS:000482414100002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8CLZBSJ","journalArticle","2023","Alonso-Sáez, L; Palacio, AS; Cabello, AM; Robaina-Estévez, S; González, JM; Garczarek, L; López-Urrutia, A","Transcriptional Mechanisms of Thermal Acclimation in Prochlorococcus","MBIO","","2150-7511","10.1128/mbio.03425-22","","Low temperature limits the growth and the distribution of the key oceanic primary producer Prochlorococcus, which does not proliferate above a latitude of ca. 40 degrees. Yet, the molecular basis of thermal acclimation in this cyanobacterium remains unexplored. We analyzed the transcriptional response of the Prochlorococcus marinus strain MIT9301 in long-term acclimations and in natural Prochlorococcus populations along a temperature range enabling its growth (17 to 30 degrees C). MIT9301 upregulated mechanisms of the global stress response at the temperature minimum (17 degrees C) but maintained the expression levels of genes involved in essential metabolic pathways (e.g., ATP synthesis and carbon fixation) along the whole thermal niche. Notably, the declining growth of MIT9301 from the optimum to the minimum temperature was coincident with a transcriptional suppression of the photosynthetic apparatus and a dampening of its circadian expression patterns, indicating a loss in their regulatory capacity under cold conditions. Under warm conditions, the cellular transcript inventory of MIT9301 was strongly streamlined, which may also induce regulatory imbalances due to stochasticity in gene expression. The daytime transcriptional suppression of photosynthetic genes at low temperature was also observed in metatranscriptomic reads mapping to MIT9301 across the global ocean, implying that this molecular mechanism may be associated with the restricted distribution of Prochlorococcus to temperate zones. IMPORTANCE Prochlorococcus is a major marine primary producer with a global impact on atmospheric CO2 fixation. This cyanobacterium is widely distributed across the temperate ocean, but virtually absent at latitudes above 40 degrees for yet unknown reasons. Temperature has been suggested as a major limiting factor, but the exact mechanisms behind Prochlorococcus thermal growth restriction remain unexplored. This study brings us closer to understanding how Prochlorococcus functions under challenging temperature conditions, by focusing on its transcriptional response after long-term acclimation from its optimum to its thermal thresholds. Our results show that the drop in Prochlorococcus growth rate under cold conditions was paralleled by a transcriptional suppression of the photosynthetic machinery during daytime and a loss in the organism's regulatory capacity to maintain circadian expression patterns. Notably, warm temperature induced a marked shrinkage of the organism's cellular transcript inventory, which may also induce regulatory imbalances in the future functioning of this cyanobacterium.","2023-06-27","2025-03-12 19:31:39","2025-03-12 19:31:39","","","","3","14","","","","","","","","","","","","","","WOS:000970668200001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJYBBU4C","journalArticle","2021","Labban, A; Palacio, AS; García, FC; Hadaidi, G; Ansari, MI; López-Urrutia, A; Alonso-Sáez, L; Hong, PY; Morán, XAG","Temperature Responses of Heterotrophic Bacteria in Co-culture With a Red Sea Synechococcus Strain","FRONTIERS IN MICROBIOLOGY","","1664-302X","10.3389/fmicb.2021.612732","","Interactions between autotrophic and heterotrophic bacteria are fundamental for marine biogeochemical cycling. How global warming will affect the dynamics of these essential microbial players is not fully understood. The aims of this study were to identify the major groups of heterotrophic bacteria present in a Synechococcus culture originally isolated from the Red Sea and assess their joint responses to experimental warming within the metabolic ecology framework. A co-culture of Synechococcus sp. RS9907 and their associated heterotrophic bacteria, after determining their taxonomic affiliation by 16S rRNA gene sequencing, was acclimated and maintained in the lab at different temperatures (24-34 degrees C). The abundance and cellular properties of Synechococcus and the three dominant heterotrophic bacterial groups (pertaining to the genera Paracoccus, Marinobacter, and Muricauda) were monitored by flow cytometry. The activation energy of Synechococcus, which grew at 0.94-1.38 d(-1), was very similar (0.34 +/- 0.02 eV) to the value hypothesized by the metabolic theory of ecology (MTE) for autotrophs (0.32 eV), while the values of the three heterotrophic bacteria ranged from 0.16 to 1.15 eV and were negatively correlated with their corresponding specific growth rates (2.38-24.4 d(-1)). The corresponding carrying capacities did not always follow the inverse relationship with temperature predicted by MTE, nor did we observe a consistent response of bacterial cell size and temperature. Our results show that the responses to future ocean warming of autotrophic and heterotrophic bacteria in microbial consortia might not be well described by theoretical universal rules.","2021-05-10","2025-03-12 19:31:39","2025-03-12 19:31:39","","","","","12","","","","","","","","","","","","","","WOS:000652970900001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVNQQQEJ","journalArticle","2022","Follett, CL; Dutkiewicz, S; Ribalet, F; Zakem, E; Caron, D; Armbrust, EV; Follows, MJ","Trophic interactions with heterotrophic bacteria limit the of Prochlorococcus","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","0027-8424","10.1073/pnas.2110993118","","Prochlorococcus is both the smallest and numerically most abundant photosynthesizing organism on the planet. While thriving in the warm oligotrophic gyres, Prochlorococcus concentrations drop rapidly in higher-latitude regions. Transect data from the North Pacific show the collapse occurring at a wide range of temperatures and latitudes (temperature is often hypothesized to cause this shift), suggesting an ecological mechanism may be at play. An often used size-based theory of phytoplankton community structure that has been incorporated into computational models correctly predicts the dominance of Prochlorococcus in the gyres, and the relative dominance of larger cells at high latitudes. However, both theory and computational models fail to explain the poleward collapse. When heterotrophic bacteria and predators that prey nonspecifically on both Prochlorococcus and bacteria are included in the theoretical framework, the collapse of Prochlorococcus occurs with increasing nutrient supplies. The poleward collapse of Prochlorococcus populations then naturally emerges when this mechanism of ""shared predation"" is implemented in a complex global ecosystem model. Additionally, the theory correctly predicts trends in both the abundance and mean size of the heterotrophic bacteria. These results suggest that ecological controls need to be considered to understand the biogeography of Prochlorococcus and predict its changes under future ocean conditions. Indirect interactions within a microbial network can be essential in setting community structure.","2022-01-11","2025-03-12 19:31:39","2025-03-12 19:31:39","","","","2","119","","","","","","","","","","","","","","WOS:000768580200005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
