"year","site","site_year","hatch_date"
2014,"ALN","ALN 2014",140
2015,"ALN","ALN 2015",145
2016,"ALN","ALN 2016",143
2017,"ALN","ALN 2017",143
2018,"ALN","ALN 2018",144
2019,"ALN","ALN 2019",137
2016,"ART","ART 2016",146
2017,"ART","ART 2017",141
2018,"ART","ART 2018",141
2019,"ART","ART 2019",135
2021,"ART","ART 2021",144
2014,"AVI","AVI 2014",141
2015,"AVI","AVI 2015",147
2016,"AVI","AVI 2016",152
2017,"AVI","AVI 2017",146
2018,"AVI","AVI 2018",147
2019,"AVI","AVI 2019",141
2021,"AVI","AVI 2021",147
2015,"AVN","AVN 2015",149
2016,"AVN","AVN 2016",152
2017,"AVN","AVN 2017",146
2018,"AVN","AVN 2018",149
2019,"AVN","AVN 2019",144
2021,"AVN","AVN 2021",152
2014,"BAD","BAD 2014",139
2017,"BAD","BAD 2017",142
2018,"BAD","BAD 2018",147
2019,"BAD","BAD 2019",142
2020,"BAD","BAD 2020",144
2021,"BAD","BAD 2021",148
2014,"BIR","BIR 2014",142
2016,"BIR","BIR 2016",146
2017,"BIR","BIR 2017",142
2019,"BIR","BIR 2019",139
2020,"BIR","BIR 2020",144
2021,"BIR","BIR 2021",148
2014,"BLA","BLA 2014",144
2015,"BLA","BLA 2015",149
2016,"BLA","BLA 2016",151
2017,"BLA","BLA 2017",146
2018,"BLA","BLA 2018",147
2019,"BLA","BLA 2019",144
2020,"BLA","BLA 2020",147
2021,"BLA","BLA 2021",149
2014,"BLG","BLG 2014",142
2015,"BLG","BLG 2015",144
2016,"BLG","BLG 2016",147
2017,"BLG","BLG 2017",138
2018,"BLG","BLG 2018",142
2019,"BLG","BLG 2019",136
2020,"BLG","BLG 2020",139
2021,"BLG","BLG 2021",143
2014,"CAL","CAL 2014",142
2015,"CAL","CAL 2015",147
2016,"CAL","CAL 2016",152
2017,"CAL","CAL 2017",145
2018,"CAL","CAL 2018",147
2019,"CAL","CAL 2019",142
2020,"CAL","CAL 2020",144
2021,"CAL","CAL 2021",150
2014,"CAR","CAR 2014",141
2015,"CAR","CAR 2015",146
2016,"CAR","CAR 2016",150
2017,"CAR","CAR 2017",146
2018,"CAR","CAR 2018",147
2019,"CAR","CAR 2019",140
2021,"CAR","CAR 2021",146
2014,"CRU","CRU 2014",147
2015,"CRU","CRU 2015",155
2016,"CRU","CRU 2016",157
2017,"CRU","CRU 2017",149
2018,"CRU","CRU 2018",152
2019,"CRU","CRU 2019",147
2021,"CRU","CRU 2021",156
2014,"DAV","DAV 2014",140
2015,"DAV","DAV 2015",144
2016,"DAV","DAV 2016",149
2017,"DAV","DAV 2017",146
2018,"DAV","DAV 2018",146
2019,"DAV","DAV 2019",140
2021,"DAV","DAV 2021",147
2014,"DEL","DEL 2014",137
2015,"DEL","DEL 2015",143
2016,"DEL","DEL 2016",144
2017,"DEL","DEL 2017",141
2018,"DEL","DEL 2018",142
2019,"DEL","DEL 2019",135
2014,"DLW","DLW 2014",146
2015,"DLW","DLW 2015",150
2016,"DLW","DLW 2016",156
2017,"DLW","DLW 2017",150
2018,"DLW","DLW 2018",151
2019,"DLW","DLW 2019",144
2014,"DNC","DNC 2014",148
2015,"DNC","DNC 2015",154
2016,"DNC","DNC 2016",156
2017,"DNC","DNC 2017",149
2018,"DNC","DNC 2018",152
2019,"DNC","DNC 2019",147
2020,"DNC","DNC 2020",149
2021,"DNC","DNC 2021",152
2015,"DNM","DNM 2015",150
2016,"DNM","DNM 2016",153
2017,"DNM","DNM 2017",148
2018,"DNM","DNM 2018",149
2019,"DNM","DNM 2019",145
2020,"DNM","DNM 2020",151
2021,"DNM","DNM 2021",153
2015,"DNS","DNS 2015",153
2016,"DNS","DNS 2016",154
2017,"DNS","DNS 2017",151
2020,"DNS","DNS 2020",150
2021,"DNS","DNS 2021",156
2014,"DOR","DOR 2014",144
2015,"DOR","DOR 2015",150
2016,"DOR","DOR 2016",149
2017,"DOR","DOR 2017",146
2018,"DOR","DOR 2018",150
2019,"DOR","DOR 2019",141
2017,"DOW","DOW 2017",144
2018,"DOW","DOW 2018",148
2019,"DOW","DOW 2019",142
2020,"DOW","DOW 2020",144
2021,"DOW","DOW 2021",149
2014,"DUN","DUN 2014",145
2015,"DUN","DUN 2015",148
2017,"DUN","DUN 2017",144
2018,"DUN","DUN 2018",149
2019,"DUN","DUN 2019",142
2020,"DUN","DUN 2020",143
2021,"DUN","DUN 2021",150
2015,"EDI","EDI 2015",143
2016,"EDI","EDI 2016",144
2017,"EDI","EDI 2017",138
2018,"EDI","EDI 2018",141
2019,"EDI","EDI 2019",138
2020,"EDI","EDI 2020",138
2021,"EDI","EDI 2021",140
2014,"FOF","FOF 2014",138
2015,"FOF","FOF 2015",142
2016,"FOF","FOF 2016",144
2017,"FOF","FOF 2017",135
2018,"FOF","FOF 2018",144
2019,"FOF","FOF 2019",136
2020,"FOF","FOF 2020",140
2021,"FOF","FOF 2021",142
2014,"FOU","FOU 2014",135
2015,"FOU","FOU 2015",139
2016,"FOU","FOU 2016",142
2017,"FOU","FOU 2017",138
2018,"FOU","FOU 2018",139
2019,"FOU","FOU 2019",133
2014,"FSH","FSH 2014",143
2015,"FSH","FSH 2015",149
2016,"FSH","FSH 2016",153
2017,"FSH","FSH 2017",149
2018,"FSH","FSH 2018",148
2019,"FSH","FSH 2019",142
2021,"FSH","FSH 2021",153
2014,"GLF","GLF 2014",140
2015,"GLF","GLF 2015",145
2016,"GLF","GLF 2016",148
2017,"GLF","GLF 2017",141
2018,"GLF","GLF 2018",146
2019,"GLF","GLF 2019",139
2020,"GLF","GLF 2020",143
2021,"GLF","GLF 2021",146
2017,"HWP","HWP 2017",143
2018,"HWP","HWP 2018",147
2019,"HWP","HWP 2019",140
2021,"HWP","HWP 2021",146
2014,"INS","INS 2014",144
2015,"INS","INS 2015",151
2016,"INS","INS 2016",153
2017,"INS","INS 2017",147
2018,"INS","INS 2018",150
2019,"INS","INS 2019",141
2021,"INS","INS 2021",152
2014,"KCK","KCK 2014",146
2015,"KCK","KCK 2015",152
2016,"KCK","KCK 2016",153
2017,"KCK","KCK 2017",146
2018,"KCK","KCK 2018",151
2019,"KCK","KCK 2019",144
2020,"KCK","KCK 2020",149
2021,"KCK","KCK 2021",148
2015,"KCZ","KCZ 2015",152
2016,"KCZ","KCZ 2016",152
2017,"KCZ","KCZ 2017",146
2018,"KCZ","KCZ 2018",150
2019,"KCZ","KCZ 2019",144
2020,"KCZ","KCZ 2020",148
2021,"KCZ","KCZ 2021",150
2014,"LVN","LVN 2014",143
2015,"LVN","LVN 2015",145
2016,"LVN","LVN 2016",146
2017,"LVN","LVN 2017",143
2018,"LVN","LVN 2018",146
2019,"LVN","LVN 2019",142
2020,"LVN","LVN 2020",144
2021,"LVN","LVN 2021",145
2014,"MCH","MCH 2014",136
2016,"MCH","MCH 2016",142
2017,"MCH","MCH 2017",135
2018,"MCH","MCH 2018",140
2019,"MCH","MCH 2019",135
2020,"MCH","MCH 2020",136
2021,"MCH","MCH 2021",135
2014,"MUN","MUN 2014",141
2015,"MUN","MUN 2015",145
2016,"MUN","MUN 2016",148
2017,"MUN","MUN 2017",144
2018,"MUN","MUN 2018",146
2019,"MUN","MUN 2019",139
2021,"MUN","MUN 2021",149
2014,"NEW","NEW 2014",140
2015,"NEW","NEW 2015",144
2016,"NEW","NEW 2016",150
2017,"NEW","NEW 2017",145
2018,"NEW","NEW 2018",147
2019,"NEW","NEW 2019",139
2021,"NEW","NEW 2021",145
2017,"OSP","OSP 2017",147
2018,"OSP","OSP 2018",147
2019,"OSP","OSP 2019",139
2017,"PIT","PIT 2017",143
2018,"PIT","PIT 2018",150
2019,"PIT","PIT 2019",141
2020,"PIT","PIT 2020",144
2021,"PIT","PIT 2021",151
2014,"PTH","PTH 2014",137
2015,"PTH","PTH 2015",143
2017,"PTH","PTH 2017",137
2018,"PTH","PTH 2018",143
2019,"PTH","PTH 2019",133
2020,"PTH","PTH 2020",138
2021,"PTH","PTH 2021",141
2015,"RSY","RSY 2015",146
2016,"RSY","RSY 2016",146
2017,"RSY","RSY 2017",140
2018,"RSY","RSY 2018",144
2019,"RSY","RSY 2019",142
2020,"RSY","RSY 2020",141
2021,"RSY","RSY 2021",141
2015,"RTH","RTH 2015",150
2016,"RTH","RTH 2016",153
2017,"RTH","RTH 2017",146
2019,"RTH","RTH 2019",142
2021,"RTH","RTH 2021",152
2015,"SER","SER 2015",141
2016,"SER","SER 2016",140
2017,"SER","SER 2017",134
2018,"SER","SER 2018",139
2019,"SER","SER 2019",134
2020,"SER","SER 2020",136
2021,"SER","SER 2021",139
2015,"SLS","SLS 2015",154
2016,"SLS","SLS 2016",156
2017,"SLS","SLS 2017",152
2018,"SLS","SLS 2018",155
2019,"SLS","SLS 2019",149
2021,"SLS","SLS 2021",160
2015,"SPD","SPD 2015",152
2016,"SPD","SPD 2016",149
2017,"SPD","SPD 2017",146
2018,"SPD","SPD 2018",147
2014,"STY","STY 2014",138
2015,"STY","STY 2015",145
2016,"STY","STY 2016",145
2017,"STY","STY 2017",139
2018,"STY","STY 2018",145
2019,"STY","STY 2019",136
2020,"STY","STY 2020",139
2021,"STY","STY 2021",144
2014,"TAI","TAI 2014",138
2016,"TAI","TAI 2016",141
2017,"TAI","TAI 2017",142
2018,"TAI","TAI 2018",143
2019,"TAI","TAI 2019",136
2017,"TOM","TOM 2017",150
2018,"TOM","TOM 2018",148
2019,"TOM","TOM 2019",143
2021,"TOM","TOM 2021",151
